"","AE","AF","AG","AO","AR","AT","AU","AW","BA","BB","BD","BE","BF","BG","BH","BJ","BO","BR","BS","BW","BY","BZ","CA","CH","CI","CL","CM","CO","CR","CV","CZ","DE","DK","DO","EC","EE","EG","ES","FI","FJ","FR","GA","GB","GE","GH","GR","GT","HK","HN","HR","HT","HU","ID","IE","IL","IN","IQ","IT","JM","JO","JP","KE","KG","KH","KR","KW","KZ","LA","LB","LK","LT","LU","LV","LY","MD","MK","ML","MM","MN","MT","MU","MX","MY","MZ","NA","NE","NG","NI","NL","NO","NP","NZ","OM","PA","PE","PG","PH","PK","PL","PR","PT","PY","QA","RO","RW","SA","SE","SG","SI","SK","SN","SV","TG","TH","TJ","TR","TT","TW","TZ","UG","US","UY","VE","VN","YE","ZA","ZM","ZW"
"2020-02-16",1.79213466666668,4.37037200000002,2.631576,-4.86008666666667,-4.26449066666666,0.526046666666673,-1.42111200000001,-1.21951333333334,-1.41129066666666,0.715987999999996,8.36483733333333,-3.15407333333333,2.77442933333334,3.954712,6.62836266666666,0.291972000000001,3.91590933333332,0.00653599999999699,2.81457066666665,4.76190666666668,4.39465866666666,0.990097333333324,0.269978666666674,-1.88956133333333,0.778207999999992,-0.587162666666671,-0.0443066666666709,1.057464,0.719538666666679,0.431036000000006,2.47775733333333,-0.887640000000005,-6.32823733333333,-8.71019466666667,-0.0482173333333265,0.666173333333347,9.90326399999999,-1.27559466666666,-3.24256399999999,1.994304,-1.11646533333334,0.390625333333332,-2.800848,8.04227733333333,1.45784,2.18080666666667,0.388137333333333,-18.5436706666667,0.104639999999989,1.26497866666666,2.91262266666665,3.26576800000001,1.897492,-1.08414266666666,1.17739866666666,0.138361333333336,11.677256,0.576182666666654,3.47185733333333,3.71825200000001,-1.506164,3.02114933333333,4.15944399999999,3.04347733333334,-2.84729066666667,7.51300533333334,2.37847333333335,4.43666133333333,0.734822666666673,3.11970533333334,0.536097333333331,-3.47826133333334,0.119475999999992,-11.150024,3.92506933333334,3.75276133333332,4.225352,0.486694666666665,-0.74184133333334,2.07824133333334,0.583089333333334,1.83330799999999,-0.242838666666671,-3.23529600000001,-0.736648000000002,6.01942,3.442052,1.01569600000001,-2.92924533333333,-2.602412,8.02185066666668,0.144694666666666,8.49497466666666,4.17185466666668,-0.0888013333333362,6.66666666666667,1.24952666666667,1.825444,-2.00424666666666,-4.32816533333333,0.606593333333322,-1.94674133333334,3.11069733333333,3.56785600000001,6.23742666666666,4.31074533333333,-4.67158533333334,-6.76525866666667,1.70393866666667,2.02757200000001,2.39493866666666,0.249099999999999,-1.68195600000001,2.41152933333333,2.22882533333333,5.34622133333333,2.87356533333335,-7.598816,1.80820266666666,4.33684266666667,0.280791999999991,-2.62305733333334,2.83731599999999,-6.55516533333333,2.71021466666666,-0.520782666666662,2.07407600000001,-2.23285466666667
"2020-02-17",1.759252,5.12070266666666,0.221730666666659,4.70772800000002,7.49485733333333,-4.009984,17.2198133333333,-20.4379573333333,12.4373826666667,1.060608,4.98688266666667,3.65775600000001,4.90770000000001,3.35228933333333,5.03496266666666,1.424052,16.7228746666667,19.1482893333334,2.02156533333333,7.936508,4.9552,0.230682666666667,-52.26532,-1.27229333333332,-2.384292,-7.69498666666667,1.95749466666666,15.1044266666667,20.3931626666667,-0.169205333333338,-2.14491333333334,-1.61394799999999,-2.29070533333334,-1.87386533333334,-3.87142933333334,0.270634666666652,15.046148,3.44845066666666,-13.1732386666667,9.19324800000001,-15.29482,-0.302800000000005,-14.3599346666667,4.110392,3.89493333333333,2.849024,3.841944,-20.501048,10.2709653333333,0.64621466666668,-0.145721333333341,2.98598266666666,3.008392,-8.20410133333334,0.766769333333329,4.10065733333333,12.66538,1.083456,3.07569866666665,3.58565733333333,0.472341333333333,2.90770533333333,11.6420493333333,5.35714266666668,0.253087999999991,6.77306133333333,8.38857466666667,9.63019866666666,1.35425866666668,5.98179599999999,-14.350952,-22.2489213333333,0.904871999999997,-21.7189333333333,4.42922933333334,19.1384026666667,5.09505733333333,4.84563733333334,-2.96551466666666,3.34598266666666,2.62487333333333,10.7356106666667,1.89246133333334,18.9747013333333,6.456456,-3.25278666666668,3.18207333333334,12.4589533333333,-5.44249466666668,-12.1921493333333,5.41057333333332,30.7508133333333,7.83123733333333,4.51304133333332,0.987263999999996,8.49557466666666,8.07325733333333,2.73470533333334,1.10056533333334,-27.1277053333333,3.24320933333333,11.41658,3.54286666666668,1.56173200000001,6.51021866666666,4.07839999999999,-5.80234799999999,-4.02950533333333,-9.93940266666668,-6.44325733333334,2.022156,4.71646666666668,-0.409205333333347,1.62021333333333,15.184896,8.17836000000001,-0.272267999999997,-2.65361466666667,0.85184266666667,9.27546133333333,-23.7708333333333,6.56627866666666,10.1925053333333,4.747488,5.2521,3.91415866666667,7.74950133333334,7.64
"2020-02-18",1.66671199999999,5.653452,4.646016,5.47244266666667,9.33572933333333,-4.12115466666665,13.7698773333333,-12.7192986666667,10.5842493333333,1.77743466666666,4.65291866666666,4.30925466666667,4.742548,3.24285333333334,4.78260800000001,1.10934933333333,16.6768906666667,14.917312,0.857518666666664,7.50636266666666,5.041056,0.225733333333338,-0.761235999999997,-1.865708,-1.84196,-6.808452,2.23613466666666,17.0158693333333,19.7387333333333,0.654662666666667,-2.219528,-0.905065333333326,-0.835825333333332,2.79872133333335,-4.65156,0.632435999999998,12.0013373333333,3.39525866666668,-12.9098106666667,7.76340266666666,-13.884196,3.53461200000001,-13.6663,5.19913733333333,3.642308,-1.68896933333333,3.90706400000001,-20.999848,10.4848066666667,0.610921333333337,1.767304,2.47361733333334,2.10645599999999,-6.95268800000001,0.540094666666675,2.94544,11.202952,0.947861333333336,1.51228800000001,4.17242399999999,-0.313359999999989,2.12694266666666,9.74649066666666,4.65139733333334,2.163732,7.21327199999999,8.76982133333333,9.606984,2.360108,7.1636,-13.4459426666667,-21.5333653333333,2.10864799999999,4.47934933333333,4.65872133333333,2.857752,4.76905866666667,4.169012,-4.21768666666667,3.46246400000001,-0.703165333333331,8.743184,1.71077466666667,14.5886893333333,5.51655066666667,2.93283066666667,2.18344666666668,10.795344,-4.79397066666667,-11.439992,7.10568266666667,14.513316,8.007868,3.08771733333333,1.42889866666667,6.77083333333333,5.23515333333333,3.59535733333334,1.06011466666666,8.03741466666668,3.12989866666666,11.0835066666667,3.54039466666667,1.89286266666666,4.34120133333333,3.89002000000001,-5.26036533333333,-4.53627466666666,-9.41629066666667,-6.040192,2.08114666666665,3.94843599999999,0,0.0461426666666682,13.823064,8.249492,-0.365737333333342,1.90376266666668,0.442209333333338,9.36834666666667,-0.479242666666664,6.60431466666667,5.60907466666667,7.25334666666666,5.43554133333333,4.192932,6.496852,7.477768
"2020-02-19",1.545344,4.50581333333334,2.21238666666666,3.83411600000001,11.029424,-5.02609199999999,13.0261733333333,-13.9167893333333,8.560796,1.063828,4.84617066666667,4.25644933333334,2.74651066666667,2.63963866666666,4.71865866666667,2.20905066666666,20.2923586666667,14.49,-0.995355999999987,9.32149733333334,5.45213333333334,3.08571333333335,0.317143999999999,-2.59122266666665,-1.89377866666666,-6.60357599999999,2.55759200000001,12.6843053333333,19.4890386666667,-0.325734666666662,-2.29353333333333,-1.20246933333334,-1.16897066666667,0.524196000000003,-6.312612,0.559504000000004,10.0781906666667,3.37053999999999,-12.969452,8.432632,-11.796896,2.22057600000001,-13.612884,4.95706666666666,1.60553999999999,3.73651066666667,3.31371066666668,-17.33846,8.307928,0.621221333333338,-1.418696,2.37070666666668,1.13780666666668,-8.89612799999999,0.431970666666672,3.63078799999998,11.197256,1.03973866666666,2.04377199999999,4.04392533333333,0.0635986666666781,0.864929333333336,9.93361466666667,5.273376,1.19117200000001,6.4425,2.66367066666666,8.82352666666668,4.60381066666666,5.43453999999998,-14.0757146666667,-22.667908,2.05618800000001,5.46194,4.28494266666665,2.21088666666667,3.19909733333334,4.901804,-3.14422666666667,2.80533866666669,-2.13819866666667,7.66277600000001,1.95567333333332,13.3928573333333,6.36910533333332,3.54745999999999,1.19250933333332,9.9393,-4.58681733333333,-11.9622186666667,5.799184,14.243668,7.67169733333333,4.01408400000001,0.90918933333333,8.49220266666666,5.12286933333333,3.84144133333334,0.766169333333337,8.29264266666667,2.85886666666669,12.3211573333333,3.62412533333334,2.24405466666666,1.90694133333334,3.27983066666665,-5.17063866666668,-5.113236,-9.23703066666667,-7.38495866666666,2.42220533333332,3.42969733333334,-0.460123999999993,0.383702666666679,16.8789826666667,9.00757866666666,0,2.94055200000001,0,7.14659066666667,1.09539333333333,7.25593600000001,5.4584,6.87775733333334,4.218536,3.34672533333334,4.455872,4.82897466666665
"2020-02-20",1.05038933333334,6.33802800000001,-1.31579066666667,3.72129866666666,8.92650800000001,-5.35552933333334,13.4727786666667,-12.8985493333333,6.808156,1.20120266666667,7.18538933333335,2.81050666666667,3.12069733333334,2.29449466666667,4.85285466666667,0.912506666666673,16.9006706666667,14.9918573333333,-2.90813200000001,8.94256133333333,4.99337733333334,-12.121216,1.10156266666665,-5.10712133333332,-3.45023599999999,-6.736756,1.96114666666666,7.33308933333335,19.1301373333333,-0.163665333333327,-2.51390533333333,-3.889832,-1.760732,1.11710133333334,-11.3441773333333,0.0610400000000055,9.43746933333334,3.28291866666667,-13.7790626666667,8.85844933333333,-15.0385946666667,3.22097333333333,-14.283824,3.89610266666666,1.04003866666666,3.88418533333335,2.50966399999999,-11.186676,8.30788666666666,0.388381333333342,-3.92301999999999,2.10612933333334,0.737639999999999,-11.559224,0.628061333333335,4.308644,8.86270666666667,0.547322666666659,0.813654666666679,7.02789866666666,0.272689333333332,1.39301599999999,11.2442826666667,5.53257199999999,1.31581066666666,6.71528666666667,7.88997866666668,10.8981066666667,0.512562666666668,5.20672133333333,-15.1338293333333,-23.0550333333333,1.5333,3.60884666666665,3.64944,0.359862666666672,3.74188799999999,4.542888,-5.003428,3.04065466666665,-15.3557133333333,7.36051466666667,2.21026666666666,12.9816786666667,6.24056533333332,3.00679066666667,-0.542628000000008,10.2801973333333,-5.82248933333334,-14.270956,10.245188,17.9860786666667,8.13674399999999,4.10723333333334,0.491170666666662,10.0694426666667,5.54999333333332,1.95380666666667,1.43958533333333,8.11173466666666,1.83208666666668,13.5590106666667,3.45303866666666,2.57181866666667,2.91634666666667,3.32259066666667,-6.20951333333333,-4.94815066666666,-11.0878906666667,-7.830648,1.18773333333333,3.03926533333335,-2.14723733333332,0.905847999999992,17.5019893333333,10.2416693333333,-2.33493066666666,1.67569999999999,-0.0154520000000105,6.79950933333333,0.348277333333328,6.30970266666667,6.53388533333332,4.978872,6.39405333333333,3.38996933333333,1.25966399999999,2.024292
"2020-02-21",-0.508713333333333,6.26057466666667,-9.255076,4.58937066666667,9.04305466666666,-5.076212,15.6991786666667,-14.5864666666667,12.90182,2.12765999999999,0.316004000000007,1.94646666666667,3.88213066666667,2.71716799999999,2.79887866666667,0.985763999999989,13.3196813333333,13.0651346666667,-5.83501200000001,9.97190800000001,5.46100933333334,2.930832,-2.58961466666666,-5.56870533333334,-2.884756,-7.01788266666668,0.398178666666666,12.7184146666667,21.287832,-2.94117733333333,-2.837108,-7.88968933333332,-2.57830266666666,1.19668533333332,-12.7436733333333,-1.366816,5.88772533333332,2.06705733333334,-15.371796,10.8365026666667,-15.1948746666667,0.313481333333328,-14.8401493333333,11.8033493333333,2.71924800000001,0.990926666666667,4.44981866666667,-20.6584773333333,10.3374986666667,0.349822666666654,-4.19977333333334,0.840912000000003,4.80089333333333,-12.8453973333333,3.90388933333334,-19.0172826666667,11.1163426666667,0.238866666666667,1.75381999999999,1.291596,0.203542666666664,3.06547066666667,12.8597106666667,5.37510666666665,-0.419230666666664,3.01673866666667,11.325816,16.80162,1.13576266666666,-18.0147506666667,-14.9176333333333,-23.3430786666667,0.655212000000006,2.80373599999999,4.50388133333333,17.6012066666667,4.199372,6.93795733333333,-6.01244133333334,0.451233333333349,-63.3131,11.0830333333333,5.38021866666666,16.8662666666667,11.3258213333333,4.71414133333334,1.21278933333333,13.923304,-8.97663333333333,-15.081848,-34.747772,17.4841,-1.60818533333334,2.35791066666667,0.640208000000001,10.7964573333333,7.71345066666666,3.21756933333333,0.98805733333333,9.87674933333334,0.702245333333337,14.2263186666667,1.56505333333332,22.293528,2.68138666666667,-3.98639466666665,-6.94454,-0.262584000000004,-11.2479346666667,-9.56304933333332,3.38199866666666,8.04783066666668,-0.104329333333325,0.618469333333337,17.3311613333333,6.78308666666668,-5.43842533333333,-0.409037333333345,-0.844410666666661,11.634756,0.282073333333315,6.85166399999999,-5.64077733333332,-4.60465466666666,3.911204,3.24216666666666,6.41566533333334,-57.5641066666667
"2020-02-22",3.18788666666667,5.57299866666668,4.52488666666666,-1.09488933333334,-1.23522933333334,1.83879066666665,3.196676,-5.88235466666667,0.413864000000004,-0.949366666666663,8.40601066666666,-2.01572133333333,2.62784266666667,-0.884373333333329,3.397384,0.0913240000000002,-3.54208933333334,-3.607584,-0.123306666666664,10.3512013333333,6.79403733333332,2.41228266666667,5.95704666666666,-1.056336,0.047002666666657,-2.186412,-0.365371999999994,4.321488,3.803044,-7.853404,4.50815866666667,-2.55519600000001,-2.53190666666667,1.93812,-7.91315733333333,-0.303396000000006,4.944484,2.02346266666666,-4.29784666666667,5.16666666666667,-5.428864,2.53807066666667,-1.83089733333334,5.02546666666667,2.30769333333333,1.55815066666666,2.56636000000002,-16.371704,1.629328,2.13729866666668,-1.277776,3.09968000000001,5.05799333333334,-1.33363333333334,-0.0269520000000085,-1.92471866666666,13.0722306666667,-0.326110666666665,2.83942666666668,-2.22168933333333,-1.44273866666667,2.67912266666666,11.764704,6.19285066666666,-4.24347466666667,3.88386,6.93187466666667,4.61245733333332,-1.14613333333334,0.0665333333333251,-1.09689333333334,-4.18943733333333,-0.68058266666668,6.39943999999998,2.60656266666668,1.72335866666667,4.59070799999999,1.66820266666667,-5.72139466666665,0.462249333333347,26.381216,3.51434800000001,2.14656533333333,1.50187733333334,4.24403333333333,6.88665733333333,2.47934000000001,4.06091333333333,-3.85775733333334,-3.71152266666667,2.26952133333333,4.21129866666668,0.815033333333332,-13.111288,0.0157933333333204,7.766988,6.75239066666666,3.117752,1.65487200000001,-1.31174266666666,0.0459293333333335,4.40163733333334,5.28870133333335,4.97530666666665,3.484848,0.428130666666675,-2.96947733333333,-2.77632133333334,1.38794933333332,2.63892133333334,1.50561066666666,3.52976933333333,-44.5544533333333,4.171544,16.5818933333333,7.84538266666665,-3.45132933333333,5.32118799999999,0.792776000000003,7.89139866666666,4.119308,0.777739999999994,6.37622533333332,-3.20285066666666,7.02027866666666,1.87553466666665,5.485016,-3.673096
"2020-02-23",3.73228933333334,6.29629466666665,-0.657893333333334,-5.74374399999999,-2.48561600000001,2.37362133333335,-1.660584,-7.72358133333334,-0.725803999999997,0.47732533333334,10.660884,-3.84615600000001,-0.241257333333337,4.16201733333332,7.05930533333334,-0.583944000000002,-3.778508,-2.54321333333333,-0.331125333333333,7.00280266666667,6.24730933333333,0.990097333333324,4.89975999999999,0.330216000000007,0.583658666666679,-1.72014399999999,-3.01284800000001,-1.75327066666668,0.559641333333332,0.862070666666654,1.407816,-2.61300666666668,0.046361333333337,-4.464696,-5.23989333333333,-0.740193333333337,9.70911599999999,1.05713866666666,-1.40091466666667,3.98860133333332,-0.882741333333342,1.95312533333333,-0.826248000000007,7.72058666666666,1.87155199999999,4.18374666666668,0.791804000000013,-17.4600933333333,0.383677333333338,1.975144,-3.398056,1.96446266666666,3.49621066666666,0.420710666666665,0.835362666666668,2.21304266666667,12.5540013333333,1.03738933333332,3.41925066666666,4.65217600000001,-0.00339733333333925,4.89951600000001,7.42345733333335,3.78260800000001,-9.48007200000001,3.708344,5.51774133333333,5.95446799999999,1.11820933333333,2.92207866666668,0.929234666666659,-4.927536,1.37395200000002,6.24635333333332,6.77966266666668,3.53200799999999,2.34741733333333,4.51711066666667,-12.0178013333333,1.83374000000001,1.069,1.52740933333332,0.423054666666658,-5.49019333333332,3.314916,3.88349466666666,0.489878666666669,0.831024000000014,-2.56872533333333,-1.80723066666667,9.87124666666668,0.705373333333341,9.35862666666667,-8.68617733333333,0.0071053333333424,10,2.33642133333333,3.08571866666666,-3.17728666666667,-4.30663066666666,1.06153866666668,3.324152,4.78281199999999,3.55535866666668,-0.402414666666672,4.32687333333332,-0.561995999999994,-4.624212,1.59744266666667,0.324411999999995,1.98825066666666,1.19014533333332,-3.21100933333334,1.71702133333334,5.05200666666667,6.66798399999999,9.98563066666667,-1.672856,-6.49015333333334,5.13684133333334,2.23777733333334,-0.323831999999996,6.49112000000001,-4.89466399999999,6.94926933333333,-0.602005333333338,0.148148000000006,-0.318979999999996
"2020-02-24",3.48447733333333,6.949524,0.665186666666656,-62.5735573333333,-53.6873773333333,2.09262533333332,17.2745253333333,-62.335764,13.7541146666667,1.96969600000001,7.10700933333335,-24.283844,3.42187999999999,2.61935466666668,5.31468666666667,-2.953588,-62.0972386666667,-45.3145653333333,-5.18867999999999,4.25396666666667,5.604528,1.384084,2.58298800000001,-3.29196666666667,2.10378533333333,-2.34475733333332,1.36092666666667,10.9191226666667,21.5306546666667,-11.8443293333333,-0.392893333333333,-19.8509013333333,2.46892266666667,3.59747333333334,-70.214864,-76.6501266666667,10.9623413333333,-6.93023733333334,-11.7997133333333,9.28705333333333,-15.2413333333333,1.89250666666668,-2.07020533333333,5.16735333333334,2.89680933333334,3.25261466666666,4.20315066666667,-18.7771706666667,11.1225786666667,0.776539999999997,-45.719492,2.50006133333333,3.66281600000001,0.842728000000008,-0.654454666666666,4.270304,13.0764306666667,-13.7903746666667,2.48605333333333,4.20924933333333,-54.7470706666667,4.50863200000001,6.03202266666668,6.08388799999999,-5.846008,1.994868,9.012812,9.142268,0.556889333333331,6.51326,2.16909733333333,-3.60403466666666,1.94070933333333,5.92334533333334,-2.86432933333333,20.2030186666667,5.17110133333334,5.86662266666667,-67.7241413333333,-8.76163733333334,4.48521866666667,8.353444,2.01441466666665,20.3062586666667,9.709712,2.88104266666667,1.96532666666667,14.5451053333333,-20.8284906666667,-4.67730266666666,6.388296,32.0164186666667,9.39748666666667,-63.905864,-0.600234666666665,8.141592,4.14881333333332,3.52504933333333,8.38539599999999,15.2423506666667,-27.744924,16.0209253333334,4.60293599999999,1.65386933333333,3.63361066666667,3.87598666666666,-4.34065200000001,-3.44971733333334,-6.96833333333332,-4.234644,2.19799333333333,5.08906,-2.148336,-0.186574666666658,14.9488573333333,8.66168666666667,-73.31778,0.945006666666657,0.730148,9.80049066666666,2.77590400000001,-35.9012453333333,-53.967204,6.45323200000001,8.12325066666666,4.74237600000001,5.00428800000002,1.55999733333334
"2020-02-25",3.20581066666668,6.90161599999999,1.54867066666667,-68.582672,-50.052928,0.47226933333333,14.6608373333333,-1.31579066666667,12.2918453333333,3.40030933333333,5.96501199999999,-22.5576573333333,3.0262,3.26287333333333,4.13043733333333,-3.486532,-68.1390586666667,-60.556284,0.329813333333334,5.91603066666666,6.44412800000001,2.37020400000002,3.19393466666666,-4.34884666666666,2.36220266666666,-1.02165199999999,1.86046399999999,13.175288,20.463832,-24.7135826666667,-0.469076000000001,-12.6721186666666,2.67904133333334,3.62370266666667,-70.0146173333333,-17.51242,-8.10575333333333,-6.21999066666666,-11.9040426666667,9.05730133333333,-14.3698226666667,1.546392,0.571909333333338,2.86443066666666,3.27064533333335,3.34389200000001,3.36456800000001,-19.2577813333333,11.415644,1.30911199999998,-44.4403586666667,2.66592933333334,-2.24916133333333,3.115016,-0.594538666666665,1.0548,7.47711199999999,-15.0919906666667,-0.819157333333337,2.79025733333333,0.756348000000003,5.84668533333333,12.675364,5.20101866666667,-10.474996,-48.3696693333333,10.0917413333333,8.65656533333335,2.16977466666665,7.90957066666667,2.65433200000001,-0.236627999999996,2.53752666666666,6.573588,4.98374933333332,3.71081066666667,4.84416133333335,5.32572933333333,-71.7687066666667,-6.68494666666668,3.46559600000001,5.91810133333333,2.60564133333334,17.3521826666667,10.782348,2.83822133333334,1.97816533333332,11.214956,-16.8157546666667,-3.989116,4.52508533333334,15.496368,8.86484800000001,-72.6817013333333,-0.197555999999992,9.375,-42.7291773333333,4.51224266666668,8.487472,6.08750933333333,-65.3899133333333,14.101324,4.11351466666667,2.902384,2.74181066666668,3.04860933333333,-3.83962,-3.32446266666666,-6.10333200000001,-3.30378266666666,-0.402237333333332,4.31803866666667,0.762584000000004,-1.61615999999999,17.4565586666667,9.02832000000001,-74.8026933333333,10.849324,-0.670934666666668,10.1490426666667,1.89865066666668,-35.763824,-59.2774866666667,9.19102000000001,7.03833066666665,5.42689466666666,5.29478933333334,6.184316
