"","AE","AF","AG","AO","AR","AT","AU","AW","BA","BB","BD","BE","BF","BG","BH","BJ","BO","BR","BS","BW","BY","BZ","CA","CH","CI","CL","CM","CO","CR","CV","CZ","DE","DK","DO","EC","EE","EG","ES","FI","FJ","FR","GA","GB","GE","GH","GR","GT","GW","HK","HN","HR","HT","HU","ID","IE","IL","IN","IQ","IT","JM","JO","JP","KE","KG","KH","KR","KW","KZ","LA","LB","LK","LT","LU","LV","LY","MD","MK","ML","MM","MN","MT","MU","MX","MY","MZ","NA","NE","NG","NI","NL","NO","NP","NZ","OM","PA","PE","PG","PH","PK","PL","PR","PT","PY","QA","RE","RO","RW","SA","SE","SG","SI","SK","SN","SV","TG","TH","TJ","TR","TT","TW","TZ","UG","US","UY","VE","VN","YE","ZA","ZM","ZW"
"2020-02-16",1.05281600000001,9.72850533333333,2.85714266666666,1.26050266666667,-1.81271866666667,12.3815053333333,2.70296666666667,1.08108,8.47682133333333,0,3.78298933333335,-2.98469600000001,-2.15384400000001,15.65182,-2.91797866666667,-3.84615600000001,-6.24713199999999,3.41442400000001,3.72093199999999,-11.4649653333333,3.485468,16.167664,4.32608533333334,7.61076800000001,5.40192666666668,4.26254266666668,-1.38889066666667,-1.48787466666667,0.74987733333333,-12.389384,9.26506533333334,6.01010133333332,-5.34815466666667,-12.5421653333333,3.91318800000001,-0.760681333333338,7.22798666666667,4.62204,-8.00561466666666,3.40909333333335,7.22022533333333,-2.05761199999999,-6.87443066666667,5.79268399999999,-2.77868666666666,8.32625333333333,2.67903199999999,-1.33333333333333,-36.2312213333333,1.24520933333334,9.33098400000002,-6.875,18.497228,-3.65207866666665,-6.15674799999999,1.10536133333332,1.94080133333334,11.7117106666667,10.7981306666667,4.54176799999999,-1.48026533333334,-10.1661986666667,4.50920666666667,-3.90410933333334,-18.8585613333333,-14.9698693333333,2.52572666666666,0.594878666666673,-5.65217066666665,16.501648,4.46911066666667,14.2366226666667,1.75438399999999,4.830648,-3.20000266666666,1.79640666666667,4.57604533333334,-1.932368,0.0396426666666798,-6.08974266666667,5.521128,-3.82916266666668,5.58837333333332,-2.919012,-6.91400133333333,-8.602152,3.52112799999999,-0.0583546666666592,0.882614666666655,-5.39883466666666,-4.542872,4.81417333333334,7.44382266666668,-0.865050666666662,10.474208,1.56689466666666,2.39999866666668,-3.05405200000001,4.40833066666666,5.91140800000001,-1.722392,2.61472533333334,-6.07210266666668,3.15386933333335,1.149424,9.96058133333332,4.82758533333335,-5.407044,-10.5151973333333,-22.35906,12.903224,17.3832653333333,-0.312825333333336,0.826446666666669,-6.43274933333333,-4.178212,2.47934000000001,1.66616266666666,10.4761906666667,-22.3268026666667,-1.49802666666666,1.99241066666667,2.18156400000001,-5.12311333333332,0.783401333333316,-11.3539733333333,5.780344,-6.34000666666667,-6.76031466666666,-11.22112
"2020-02-17",0.529872000000012,8.81670666666668,-3.09278400000001,-3.32226,-1.96582533333334,3.05628933333332,7.22567199999999,-3.84615600000001,9.70072399999999,4.01337733333334,2.05810533333333,4.38977600000001,-0.561798666666675,8.41688533333334,-3.07195066666667,-2.28310666666667,-4.62360666666667,9.33931466666667,5.85774266666668,-12.8865973333333,4.37886,6.64062533333333,-27.553568,-1.857112,1.50250266666667,-3.08357733333334,3.78634133333333,5.858572,1.96419333333333,0.909093333333331,0.709482666666659,1.00176,-2.85081466666666,-7.57390400000001,2.45469200000001,-0.265603999999996,4.34209199999999,2.96470133333332,-9.64439866666666,-1.50862133333334,-6.47091733333333,-0.716847999999999,-1.570572,0.780797333333339,-3.55852266666666,9.81539866666665,-2.20293733333334,-1.28205333333334,-32.3185733333333,0.163263999999998,4.75581333333332,-2.79898133333333,5.69078533333334,-0.516819999999996,-0.0404973333333345,0.718973333333324,0.716537333333321,15.5905506666667,2.771856,1.08564799999999,-2.24299066666667,-1.189616,5.73102266666668,-2.59987333333333,-19.006216,-6.47465066666666,5.02958666666666,-0.723714666666666,-6.52173866666668,9.668508,2.15489733333334,0.49293466666667,-11.183492,0.485254666666663,-4.23728933333334,2.01429733333333,9.711848,8.29875733333334,0.783289333333343,-6.88705466666666,6.28445466666668,-0.227788000000004,5.27193733333333,-5.91897600000001,-2.85714266666666,-16.5217386666667,1.25786400000001,0.145690666666681,1.31868,-2.683904,-4.51685066666667,5.79975333333334,15.0216773333333,-1.330968,5.03303466666667,2.14776666666667,-4.13792933333333,-1.82409733333334,8.68871066666668,1.45376533333335,-8.27907333333333,3.16094,-2.562816,0.658975999999996,7.777776,6.79067466666667,4.65632133333334,-7.31137066666668,-6.19474266666667,-13.5916133333333,-5.76286800000001,4.93374666666666,-0.0830586666666733,1.32370533333332,-4.49437999999999,-4.27230800000001,1.15207466666666,5.397904,12.911392,-16.8677573333333,-1.54222666666666,1.17845199999999,-8.84842933333334,-4.11669866666668,2.98264000000002,-11.1732173333333,5.17241466666667,3.10117066666666,-8.04249066666667,-6.76328533333333
"2020-02-18",-0.0091506666666703,8.56481466666668,4.85437066666665,-1.33779333333334,9.00450133333335,2.14913999999999,7.23210666666667,2.09423866666667,6.63101733333333,1.11524,3.06617200000001,5.72541333333334,-4.20168,7.73969066666666,-3.38164266666666,-1.29870133333334,-5.83573466666667,8.77311733333335,7.84313999999999,-11.8811853333333,4.29134133333334,4.87804666666666,-1.28058933333334,3.45265733333333,1.227676,-2.69356266666666,0.734313333333333,9.97766666666666,1.20953333333334,-8.928568,1.53318266666666,0.878982666666658,-1.40440933333333,3.60664399999999,2.09410133333334,3.61990800000001,4.76403333333333,3.61728933333335,-9.31726133333332,6.36792533333335,-3.60110933333333,-2.15053866666666,-2.650268,4.17031333333333,-3.28289733333334,-27.4342146666667,-1.946472,1.27388533333333,-32.626384,-3.11710133333334,-0.386098666666669,-6.14250666666666,4.89364133333335,0.791865333333334,-0.151911999999996,1.07092799999999,1.86189333333333,15.4687493333333,3.708512,0.251098666666664,0,-1.97303733333334,5.68978933333332,-2.73615466666666,-19.728332,-3.17617733333334,4.45829200000001,-1.094848,-4.52488666666666,2.36686133333333,3.97477733333334,0.422765333333345,-12.63676,0.299626666666668,4.16666666666667,2.19914266666667,6.89289333333333,6.77966266666668,0.316081333333344,-8.34492,5.49084933333333,4.77855466666668,2.46194933333335,-8.83637466666666,-5.49133333333333,-11.3207493333333,3.37837733333333,0.428797333333335,-0.758722666666671,-2.953928,-5.45123333333333,5.178792,8.07912133333333,-1.72884666666667,2.91356933333333,0.742833333333337,-4.16666666666666,-0.0250240000000019,5.78503866666667,-0.756830666666659,4.98615066666666,4.850032,-5.59105466666668,1.12620000000001,18.5185186666667,5.719508,0,-5.595012,-4.03344266666666,-14.6831053333333,-4.364884,3.36787466666667,-4.15987199999999,2.97213733333335,-6.896556,-5.77559466666666,-2.82352666666668,3.70346533333334,16.377172,-15.1095986666667,-0.697906666666654,-0.789474666666663,1.079188,-4.09008800000001,0.658955999999989,-9.18853733333333,2.38095066666666,0.382634666666675,-3.97140533333334,-6.39810133333333
"2020-02-19",-0.572362666666663,-0.223714666666666,0,-6.5625,7.76555866666666,-1.02145866666667,7.56170133333333,4.02010133333333,5.46623733333334,-3.29670266666666,1.62360666666667,4.54692533333332,-3.60110933333333,5.23192800000001,-2.99110933333334,-8.97435466666667,-0.0744066666666754,7.90212,23.11558,-6.46766133333333,5.861476,4.47154266666668,-0.0448960000000085,-4.068324,0.279328000000007,-3.10834799999999,-0.390115999999992,6.07346133333333,0.229436000000007,-8.40336133333332,-1.698756,-1.02118399999999,-1.65264933333333,-0.351318666666671,2.26771599999999,3.82862399999999,2.22260533333333,1.65819333333333,-8.417196,4.21545466666666,-5.58762666666667,-5.19031333333334,-3.76420133333333,5.53746,-4.27928133333333,7.658356,-0.352981333333332,3.164556,-31.2576493333333,-2.57953333333333,1.62515733333333,-9.33660933333334,2.17233733333333,-0.407790666666671,-2.30602533333334,-2.28629599999999,1.23403866666666,12.4804986666667,2.54607200000001,1.67633600000001,-3.68324266666666,-2.76207466666666,1.358104,-1.89666266666667,-20.276204,-4.47427333333333,4.81586266666667,-6.795908,-4.32190933333334,6.32530266666666,3.55779999999999,-1.36629733333334,-11.6430866666667,0.15082799999999,0.840337333333323,4.929576,4.84913599999999,-0.411524000000014,-3.28665733333334,-3.956344,7.332204,6.94760666666667,2.60851600000001,-6.995412,-5.61959866666666,-15.4471533333333,-1.324504,-2.11640399999999,-1.626648,-2.82537866666667,-1.24982666666666,3.98588533333333,10.9121293333333,-3.33919333333334,4.29411866666666,0.478017333333341,-3.26797466666666,-6.078868,3.13399199999999,-0.69413733333333,7.28782133333333,7.71011333333334,-5.13751733333334,-0.650620000000004,16.867472,4.59246266666666,1.17371066666666,-3.743088,-2.778392,-15.032552,-3.512996,-0.444321333333335,-6.42798933333334,2.38543733333334,-2.31213866666667,-5.83808399999999,-0.934579999999997,0.00845333333332121,29.411764,-12.205068,-1.68723066666666,0,1.31567866666667,1.63783733333334,3.53930133333333,-11.8919773333333,0.578033333333323,-1.66121466666667,-6.888356,-7.99031600000001
"2020-02-20",0.873809333333341,4.43459066666667,-1.90476000000001,-2.70270266666667,7.21882133333334,1.73501600000002,8.96402533333334,29.353236,6.39913466666667,4.25532,3.69573999999999,2.80934133333332,-2.22841333333334,2.94117733333334,-0.441502666666665,-6.14035066666666,0.428365333333346,11.2268013333333,11.4678906666667,3.51758799999999,8.15125999999999,9.91735333333332,-0.909093333333331,4.84561599999999,4.35779866666665,-2.750844,0,1.56470266666666,-0.0526880000000034,-3.70370533333335,-0.00736533333332545,3.32355200000001,-1.36631733333333,-0.326878666666659,1.310348,5.56773333333334,-0.139627999999988,4.85992933333334,-9.59737200000001,0.435729333333342,-4.03671733333333,-4.52961733333333,-5.17625466666667,4.52143333333332,-5.03179466666667,3.73800666666666,-1.32866933333334,3.82165466666666,-27.7706813333333,-2.91909733333333,2.98256399999998,-6.25,3.790344,3.50653066666666,-0.95213866666667,0.308018666666669,4.72992400000001,10.9144546666667,4.54052266666667,1.39594000000001,-2.21842933333333,-2.608012,4.531992,2.70270266666665,-20.588236,-6.480164,7.77247066666666,0.78655466666666,-6.96661333333333,8.71934533333334,8.095912,1.717992,-12.5,2.765488,6.50406400000001,2.45003200000001,-0.545257333333339,-1.244812,0,-3.40136266666667,8.00877866666667,-5.72110000000001,3.10150666666667,-5.16061866666666,-1.31195600000001,-6.73077333333333,0.671142666666654,-1.38843333333334,1.79267333333333,-3.15620933333334,-8.87129733333335,7.42340133333335,11.438064,-1.39802533333334,4.282944,2.51884933333332,-1.30718933333334,-4.76036133333334,-1.22348533333333,2.55064933333333,-1.48341866666667,8.13845866666666,-2.54372133333334,-1.65926133333333,8.98876399999999,2.24448666666667,2.38095066666666,-2.71885733333333,-5.52881866666667,-11.9077346666667,-0.660374666666669,1.37741066666666,-2.12940533333334,2.89408933333333,-10.3030293333333,-4.27190133333333,3.29411866666666,0.0302626666666583,16.3895466666667,-14.874024,1.33572933333335,-0.620569333333336,0.240406666666672,0.398045333333314,7.36267066666667,-14.779144,0.564972000000012,0.906265333333337,-8.28640799999999,-5.56901066666667
"2020-02-21",0.020701333333335,6.56168133333333,-1.85185199999999,0.299402666666666,9.01557866666667,-2.053624,11.585724,1.42857333333333,6.55737866666666,1.910828,5.20462533333333,6.82991066666668,1.052632,5.89598533333333,-3.15870666666666,-2.34375066666666,8.91413333333333,11.530756,7.66129066666666,9.95260666666667,7.91117866666666,1.73010266666667,-0.826512000000008,1.07175733333334,1.33333333333334,-5.74653066666667,-2.1645,8.47974133333334,0.902105333333324,-6.060608,-0.621516,-1.22724933333333,-0.961665333333329,0.943624000000014,-0.349791999999994,2.79664666666666,7.610016,6.44191466666666,-12.2538253333333,10.1265813333333,0.242919999999998,-10.9271546666667,-2.520432,7.56960533333333,-1.777776,1.12948133333333,-3.59106933333334,1.29870133333334,-31.402588,-1.62790933333333,4.98227466666665,-3.20197066666667,1.22751866666665,1.81665066666667,-1.38141866666666,6.21069866666666,-4.024348,13.4426213333333,5.33889733333332,-1.13186133333333,-5.19480399999999,-2.40885466666667,5.33284,5.19316133333334,-21.2447613333333,-9.77345733333334,1.43603066666667,4.38974533333334,-8.25439466666667,-0.273223999999999,0.211476000000005,-1.38763466666667,-5.34429866666667,1.52038533333334,8.42105066666667,-0.616246666666669,4.86110933333333,-4.03225733333333,-0.918659999999988,-1.044388,12.0312493333333,-32.3529453333333,3.81542933333334,-2.67754666666666,-2.027028,-3.20000266666666,1.86335200000001,-1.36567199999999,1.80897066666665,1.493312,-4.32107066666667,-4.51691199999999,10.48758,-1.98863733333333,6.71357733333333,0.901946666666674,-6.25,-5.81479866666666,3.94238266666666,-3.30219066666668,-2.54022266666666,10.8528186666667,-6.08170533333333,-2.40399733333334,-6.42201733333333,9.02173333333334,9.45378133333334,-12.6991066666667,-1.91443333333333,-11.546468,1.740296,-4.89546266666666,-3.20769733333334,1.911936,-4.63917600000001,-4.95398,3.55450399999999,-3.17707333333333,19.3406573333333,-12.152272,-1.89573733333333,-1.49501600000001,0.925618666666679,-3.80856266666667,4.77410933333333,-11.7616266666667,-0.657893333333334,4.255056,-10.7248533333333,-33.479208
"2020-02-22",-2.25365199999999,6.858408,-4.04040533333333,4,6.98370399999999,14.4735773333333,8.06451466666667,13.1687266666667,4.69945333333335,-3.370788,5.83580533333334,1.68756133333332,-5.91259733333334,3.28140800000001,-3.01624000000001,-0.909093333333331,6.21852666666666,5.96760533333334,15.7407426666667,-2.35294133333332,8.54730266666665,9.52380933333332,6.07537333333335,13.6836546666667,-1.29065466666667,-1.19947866666666,-4.00763466666668,2.25610400000001,-1.38559466666666,-3.60360266666667,11.193868,8.57293733333333,-3.52414399999999,0.37878933333333,-5.13554400000001,-7.06243866666667,5.46422799999999,13.7795666666667,-7.36824533333333,6.91964266666668,14.3024946666667,-8.33333333333334,-1.63148533333333,6.45558133333333,-2.350144,-5.84531600000001,0.504851999999985,-4.21052533333334,-30.4625746666667,-3.42465733333333,4.22259466666668,-7.25,11.07458,0.515039999999999,-0.591522666666663,-2.79462666666667,-2.48573866666666,17.214396,7.99221866666666,-0.803461333333331,-3.85289066666667,-3.43952933333334,3.78894000000001,1.94805333333332,-20.9118546666667,-23.5700986666667,4.52425066666666,3.99081466666667,-14.444448,-7.47922799999999,1.84210666666667,1.34281466666665,11.6185906666667,-3.33633866666668,10,-1.95598799999999,-0.327870666666669,-5.42636133333335,-0.672429333333341,4.33482933333333,11.0594333333333,-7.42092933333333,3.94531733333332,-0.538955999999999,-4.511276,-6.59340400000001,3.10559066666667,-1.571956,-0.678426666666667,9.58350666666668,1.94507866666666,1.16540533333334,0.83120266666667,-0.464686666666665,-8.83608,4.115244,-6.87022933333333,-0.664698666666681,2.78456133333333,1.90457600000001,-6.38669866666667,13.0021413333333,-4.87691733333332,-1.02695733333333,-3.60360266666667,5.22761600000001,16.306956,-8.13653599999999,-2.242732,-15.8747866666667,30.5418706666667,9.64163733333334,-4.26229333333333,-3.037384,-26.923076,-6.00656133333332,5.78313199999999,-4.05047066666666,28.660436,-16.7482506666667,-2.95844,-2.13991866666667,5.35348533333332,-2.863708,9.61716666666665,-9.22166933333334,4.76190666666668,-7.70092799999999,-9.11808266666667,-18.362284
"2020-02-23",-1.158096,6.78732799999999,-7.14285333333333,-7.56302933333333,5.33406533333334,5.25246666666665,4.061808,16.2162173333333,9.00662266666667,-3.86740133333333,4.307592,-2.13435333333334,-2.46153733333333,14.344096,-5.04731733333334,3.84615600000001,-5.78778133333333,2.11336799999999,7.44185866666666,0.63694266666667,6.49743600000001,17.9640706666667,4.96296666666667,12.8895466666667,5.65916399999999,0.51781733333334,-6.87134799999998,-5.013992,-2.15287733333334,-7.9646,1.10298133333333,2.08872933333333,0.440434666666661,-3.12787333333333,-4.34049466666666,6.84611066666668,3.66115333333335,11.3507946666667,1.49227333333333,1.51515200000001,11.6231333333333,-4.526748,2.88764400000001,5.28455066666666,-4.31513466666667,5.97564133333334,0.515197333333333,0,-31.211528,-6.60919200000001,13.521128,-16.25,13.7670186666667,-4.29858399999999,1.28423066666666,0.0186106666666603,-0.484136000000007,13.6636653333333,5.66109733333333,-0.324412000000009,2.79605066666666,1.74556000000001,5.13266533333334,3.42465733333333,-19.3548386666667,-25.2553506666667,7.39008533333335,4.00631199999999,-11.7391253333333,0.660065333333336,5.549556,1.12910933333332,5.37280799999999,5.27484666666666,3.20000266666666,3.39321333333334,2.96096800000001,-3.86473600000001,-0.931614666666675,-21.3141066666667,13.971832,-10.162008,7.04036000000001,-1.13791866666666,-16.6947733333333,-11.827952,8.450704,-1.21571866666666,-3.08914133333333,1.68873599999999,7.21181200000001,6.913152,1.96629333333334,-1.03806,-10.9171453333333,0.120529333333337,0,-6.85855066666666,2.17497199999998,-1.943476,-1.21580533333334,15.8377786666667,-9.17140666666667,0.159286666666674,3.44827733333332,6.553568,5.28735866666668,-7.37140933333335,0.253377333333333,-18.811636,24.0322573333333,5.96393866666666,-3.33680666666667,-3.080388,-14.6198826666667,-7.844808,6.06060800000002,3.23198000000001,17.4603173333333,-14.5664973333333,-11.5374546666667,-1.61290533333333,4.99234,-6.31453466666666,8.93499733333334,-12.3071186666667,1.73410533333333,-12.1834106666667,-11.150136,-8.91088933333333
"2020-02-24",-1.059748,8.81670666666668,-5.15463733333334,-24.9169413333333,-26.784516,3.09497599999999,7.87506133333333,-18.2692266666667,4.54076133333334,-0.334446666666665,1.330932,-10.6823226666667,1.12359600000001,4.53825866666666,-2.74858666666667,0.456618666666657,-15.5436813333333,-26.9866733333333,7.53138266666666,-5.67010533333332,3.04709333333332,4.6875,-0.674026666666663,7.35479733333332,-0.779078666666663,-3.32166000000001,-1.622716,6.28529333333334,-0.0521439999999984,-5.45454933333333,0.911127999999991,-5.46303333333333,1.68389866666668,1.27046266666666,-32.8523666666667,-13.1031386666667,1.78430133333333,4.47173066666666,-3.73966533333333,-0.215514666666678,-1.18327333333333,-5.37634266666667,-2.179728,4.62695333333333,-2.50208533333334,7.90184533333334,-5.20694533333334,-16.6666666666667,-30.6276453333333,-4,5.13968933333334,-39.1857506666667,2.506856,-1.40529333333333,0.850433333333328,-1.88547733333333,0.881948000000008,15.118108,-14.70994,0,-1.12149599999999,-26.6345826666667,4.11360133333334,-4.37539733333332,-21.304352,-15.27476,14.151876,0.478927999999996,-6.23188266666666,0.828730666666672,4.134816,4.14065066666667,-2.768728,3.84471600000001,4.23728933333334,-7.60233599999999,6.51013733333335,1.65974933333332,0.381601333333336,-36.9146013333333,8.82028666666668,-2.164012,3.50489333333333,-5.833364,-2.42857333333333,-12.1739093333333,0.628932000000006,-2.21772800000001,-0.219782666666674,-4.45614666666665,2.83876533333334,3.86650533333332,17.5720466666667,0.0887293333333332,-35.2506813333333,1.15549733333333,-6.20689866666667,-3.77275066666667,7.27750133333333,2.57224000000001,-1.76744133333332,-2.61001066666667,-5.22613066666666,-0.329487999999998,3.33333333333334,2.50534,2.88248133333333,-7.88523333333335,-3.11135866666667,-13.905212,0.377894666666663,4.51085466666667,-0.664454666666671,-0.0601706666666644,-9.55055733333334,-7.10525466666667,1.38248666666667,3.40569066666667,-7.84810400000001,-13.7116093333333,-1.86046399999999,-4.04040533333333,1.28480533333332,-9.86218266666667,-25.374684,-9.92411333333332,6.32183866666666,-2.236908,-11.1532586666667,-16.6666666666667
"2020-02-25",-2.37899333333334,8.79629466666667,-2.91262266666666,-28.093648,-28.4846493333334,6.55812533333334,10.0863133333333,12.5654453333333,8.02139333333334,4.46096799999999,2.30302399999999,-8.00917600000001,-1.40055866666667,8.00749733333332,-8.29308,0,-28.6743466666667,-34.93572,4.41176400000001,-9.90099066666666,3.130656,9.75609866666667,-0.166672000000005,2.99724800000001,0.0558013333333349,-0.911845333333332,-2.53671733333334,8.300832,-0.266810666666657,-16.071432,1.72387733333332,-5.11601733333333,0.860767999999993,2.38713066666666,-30.1817826666667,4.02715066666669,-9.233104,3.47495466666668,-1.19250533333334,5.18867999999999,-2.65125466666667,-0.358423999999999,0.615712000000016,-1.574804,-2.112472,5.02193200000001,-4.58811466666667,-42.6751613333333,-31.2525733333333,-5.72872933333333,3.04590399999999,-25.7985226666667,6.08169066666666,-6.32533733333334,0.386688000000007,-1.99362666666667,1.08700533333335,4.84374933333334,-18.297556,8.035156,0.366973333333334,-1.85728400000001,3.338532,2.99674533333334,-19.5342813333333,-25.8522133333333,-3.93096933333334,2.65582800000001,-4.52488666666666,0.295857333333331,6.41123466666667,2.73170933333333,-1.47702533333333,-1.31086266666667,7.5,-1.64935866666667,4.55991599999999,3.81355733333334,-0.750692000000001,-54.1029253333333,11.8691053333333,-2.21445199999999,1.84409599999999,-7.601268,-2.74566666666666,-3.77358533333333,2.70270266666665,1.15444933333333,-2.95903066666668,-3.84049466666666,-0.602580000000003,1.80846666666667,9.72354666666666,0.909917333333325,-39.26476,0.0260626666666752,-2.08333333333334,-18.2182213333333,4.74589999999999,4.65761333333332,-5.44782533333333,-24.512512,-8.94568933333333,-0.496852000000004,9.87654133333334,5.55010533333333,0.923787999999988,-3.24940933333335,-2.542084,-13.4819026666667,2.20696533333333,7.31145733333334,-10.8482866666667,-1.238388,-6.32183866666665,-6.80750533333332,0.470586666666662,4.49276266666668,8.68486533333332,-11.7022093333333,0.124623999999997,-2.98245733333333,2.15578266666667,-14.0540573333333,-32.4937746666667,-8.74403866666668,7.73809333333332,2.19026133333332,-6.67196666666666,-15.6398106666666
