"","AE","AF","AO","AR","AT","AU","BA","BD","BE","BF","BG","BH","BJ","BO","BR","BS","BW","BY","CA","CH","CI","CL","CM","CO","CR","CZ","DE","DK","DO","EC","EE","EG","ES","FI","FJ","FR","GA","GB","GE","GH","GR","GT","HK","HN","HR","HT","HU","ID","IE","IL","IN","IQ","IT","JM","JO","JP","KE","KG","KH","KR","KW","KZ","LA","LB","LK","LT","LV","LY","MD","MK","ML","MM","MN","MT","MU","MX","MY","MZ","NA","NE","NG","NI","NL","NO","NP","NZ","OM","PA","PE","PH","PK","PL","PR","PT","PY","QA","RO","RW","SA","SE","SG","SI","SK","SN","SV","TG","TH","TJ","TR","TT","TW","TZ","UG","US","UY","VE","VN","YE","ZA","ZM","ZW"
"2020-02-16",0.763997333333322,-0.0671080000000046,2.13824933333333,1.9679,-1.67401066666667,0.0307920000000053,-1.11023466666667,-0.014953333333338,0.99287866666667,-1.41780533333333,-3.01856000000001,0.440551999999997,-0.315709333333331,2.51378933333332,1.25846800000001,-0.548954666666674,2.24247200000001,-0.465556000000007,-1.61451733333334,-0.744139999999987,-0.376510666666675,0.00705466666666155,0.357014666666672,1.99108933333333,1.33045466666665,-1.31709733333332,-0.18486,1.28228266666666,2.84409599999999,-0.158309333333335,-0.38227333333333,-1.11531066666667,-2.07371066666667,0.978611999999998,1.85319466666667,-0.719853333333333,1.48524,1.14263466666667,-0.947397333333328,1.39166266666668,-0.306249333333326,-1.075816,13.0037386666667,-0.429646666666656,-2.09450266666667,0.483805333333336,-2.196584,1.785228,2.06094933333334,-0.0535786666666809,0.227533333333341,0.175944000000001,-1.53482533333333,0.406672,-0.708704000000012,2.47934933333333,-0.171824000000001,0.116546666666679,1.59682266666667,4.14101199999999,-0.0382186666666655,-0.434717333333339,1.96462533333333,-0.366673333333338,1.93204266666666,-1.509252,-0.740977333333319,3.32398533333334,-0.313730666666672,-0.314829333333336,1.36400400000001,1.967804,1.38378933333334,-0.830347999999987,1.29761733333333,-1.09123733333332,1.77324400000001,0.558797333333331,2.01834666666667,0.0236506666666685,0.436655999999999,0.169087999999988,1.52274133333333,0.831842666666674,0.0505013333333295,1.06822266666666,0.189352000000014,-1.49311866666666,0.387974666666665,0.696432000000001,-0.0827226666666689,-0.0621799999999979,-0.652389333333332,0.201808,4.276144,1.26795466666667,-1.88990799999999,-1.27786266666666,1.86287999999999,1.79561866666667,7.78235333333332,-2.752212,-1.87834133333334,-0.339696000000004,-0.30401599999999,0.661910666666671,1.80716000000001,-1.58114133333333,0.467849333333319,-1.04955066666666,5.49384533333333,0.266648000000004,1.44210799999999,-0.82035333333333,1.34696933333333,-0.191849333333323,7.43712933333333,1.12794533333333,-0.442265333333339,3.39087866666668,2.78037066666667
"2020-02-17",0.978438666666676,-1.34574933333333,-0.184926666666669,1.27818799999999,-0.266077333333342,-1.79140266666667,-1.14643866666665,1.07282533333333,-0.089177333333339,-0.343607999999989,-1.73396266666667,0.462428000000003,0.943598666666674,-0.370157333333339,-1.10961866666666,-0.131927999999988,-0.181941333333342,-0.28619333333333,11.218536,1.32316533333332,1.24096666666667,0.816334666666663,0.67746933333332,-1.37430266666667,-2.85150133333335,0.391724000000011,0.218775999999991,1.32062799999999,0.798838666666654,1.47105466666666,0.974945333333338,-0.755676000000008,-0.760314666666673,1.79590400000001,0.283574666666667,3.57840533333334,1.15466266666667,2.09668533333334,0.112146666666675,0.470184000000003,-1.019668,-0.291122666666666,14.9237973333333,-2.00263466666667,-0.500554666666659,1.47537733333334,-0.441054666666659,1.15319333333332,1.620092,-0.0729879999999952,0.0145413333333408,-0.876012000000003,-0.210037333333332,0.939097333333322,-0.463577333333347,0.810709333333335,0.0305840000000046,-1.30854266666667,1.897964,4.70001733333334,0.106974666666673,-0.00679466666666428,1.25937333333333,-1.02041066666666,1.75736933333333,2.92591866666667,1.08393866666667,4.24672,-0.0450186666666639,-1.71551066666666,0.314437333333345,1.35587066666668,3.46059733333333,-0.946869333333339,-0.383753333333331,-2.01681066666667,1.80805466666666,-3.67064933333333,0.538569333333342,1.91846666666666,0.555868000000004,-1.18271866666667,1.183436,1.52699733333334,-0.317723999999998,-2.760284,0.452539999999985,-0.995182666666665,0.409042666666664,0.531254666666655,-0.737249333333338,-0.319636000000003,7.573268,0.307068000000001,-0.756866666666667,1.279256,-1.20801333333334,0.499501333333342,1.68100933333332,1.83859733333334,6.65574666666666,1.254552,0.0776773333333267,0.342193333333341,-0.353022666666675,0.876098666666664,1.17491199999999,-2.46064799999999,-1.55116266666667,-0.34966533333332,6.14534533333332,1.46279866666667,-0.279322666666658,5.15378266666666,1.48007733333333,-1.32632933333333,6.48979733333333,1.265264,0.739329333333345,2.70856266666667,0.555033333333327
"2020-02-18",0.913137333333339,-0.603387999999995,-0.556198666666674,-0.790018666666668,0.193766666666662,-1.134064,-0.648950666666664,1.06675733333334,-0.311914666666667,-0.461593333333326,-1.725388,0.595118666666664,0.499511999999996,-1.68007466666667,-1.25037066666667,-0.405584000000005,0.149490666666679,-0.162297333333342,0.863184000000004,0.541290666666654,0.969014666666681,0.946981333333326,0.819147999999998,-1.47987866666666,-2.86063066666668,0.290725333333341,1.06724533333333,0.816934666666654,-0.520146666666662,1.04437733333333,0.578232,-0.699397333333337,-0.459269333333339,2.19422933333333,1.37472533333334,2.82521600000001,0.976888000000002,2.29509466666667,-1.451716,-0.218475999999995,0.762282666666664,-0.499786666666665,15.720316,-2.20131466666668,0.962666666666664,1.48425333333333,-0.329549333333333,1.13047333333334,1.34035733333333,-0.153788000000006,0.0711413333333297,-0.84175066666667,-0.417414666666659,0.36900266666666,-0.301580000000001,1.11865199999998,0.0255786666666751,-0.495981333333333,1.19055733333333,1.53566000000001,0.0642853333333306,0.0541986666666787,1.47728000000001,-0.324356000000009,1.42581200000001,2.56167599999999,0.117522666666673,0.505218666666664,-0.23330133333333,-1.32623333333333,0.654541333333341,1.37543733333334,3.3968,-0.740621333333337,-1.05795733333332,-1.73848533333333,1.852844,-2.30154400000001,1.73914533333333,0.0156866666666673,0.417047999999994,-1.09092666666668,0.911753333333337,1.20946266666667,-0.0982306666666659,-1.19506799999999,0.547922666666651,-0.992685333333327,0.294286666666665,0.498982666666663,-0.598937333333325,0.844508000000005,-1.12240133333333,-0.35881599999999,-0.755945333333329,1.08587200000001,-1.20084133333333,0.313125333333346,1.64428266666667,1.19659466666666,6.92101599999999,1.39265466666667,-0.405446666666663,0.951186666666672,-0.660247999999996,0.718694666666678,1.59667999999999,-0.695134666666675,-2.31197599999999,-0.618612000000013,5.196248,1.19132533333332,-0.527257333333324,0.53340133333333,0.721100000000007,-1.28096533333333,5.799316,1.71608533333334,0.910817333333341,2.15589333333332,1.53786666666666
"2020-02-19",0.746124000000009,0.744329333333326,0.607213333333334,-1.81509333333332,0.772521333333344,-1.20637066666667,-1.001572,0.815196,-0.377705333333338,0.0653226666666598,-1.13302133333335,0.269384000000002,0.555796000000001,-1.79372133333334,-0.941594666666674,0.242202666666657,-1.39766399999999,-0.817586666666671,0.335057333333324,1.21834266666667,1.35895733333334,0.949254666666661,1.18425466666667,-2.20585066666666,-2.31218933333334,0.301050666666654,0.642694666666671,0.898869333333337,0.700902666666664,0.789046666666664,-0.0117440000000073,-0.291132000000005,-0.597915999999998,1.45973733333334,0.408283999999995,2.11753866666666,1.64201866666667,2.53392533333334,-1.265884,0.50332666666668,-1.28186533333333,0.17398133333333,14.319692,-1.06958533333334,-0.127609333333339,2.36663866666666,-0.634628000000006,0.85942533333332,2.00324000000001,0.778381333333343,0.530146666666667,-0.333846666666673,-0.335104000000001,0.554113333333333,0.0116479999999939,0.223037333333338,0.501917333333338,-1.006968,2.08998666666666,2.22090666666668,-0.0310266666666621,1.57260666666666,1.62530000000001,-0.702229333333321,1.184952,2.34457866666666,0.011881333333335,-0.597193333333337,-2.232748,-1.61200000000001,0.997844000000001,1.29320800000001,3.45546533333334,-0.697296000000009,-2.09647066666666,-1.13791866666666,1.63524399999999,-2.40808133333333,-0.0357159999999936,-1.11871333333333,0.718068000000002,-0.770976000000005,0.573933333333329,-0.124130666666673,-0.418222666666665,-1.72791600000001,0.524322666666663,-0.60723866666666,0.731013333333337,0.590763999999993,-0.696472,0.0529626666666587,-0.944453333333328,-1.39381866666668,-0.0545293333333348,0.973855999999998,-1.20042933333335,0.991571999999991,1.212952,0.734802666666653,7.52808666666667,0.483653333333336,0.635284000000013,0.873586666666654,-0.643773333333328,1.26701866666666,1.38902266666668,-1.07256,-1.699656,-0.892501333333328,4.25484666666667,1.03707333333334,-0.546936000000002,0.012755999999996,-0.94756533333333,-2.674764,3.91401200000001,1.12888533333333,0.84962933333334,2.69979866666668,0.603658666666675
"2020-02-20",0.866531999999992,1.06809466666667,-1.036952,-0.680588,0.327133333333336,-1.79865466666666,-0.799382666666659,0.720662666666655,0.246765333333343,-0.0895639999999958,-0.301722666666677,0.182572000000008,0.355834666666667,-1.42016666666666,-1.873728,0.445439999999991,-0.41027866666667,-1.41021733333334,-0.169184000000001,-0.414398666666671,1.67819733333334,0.983281333333338,1.39555866666667,-0.562270666666663,-1.61061599999999,0.0332586666666543,0.585729333333347,1.04993200000001,0.620986666666653,1.40065999999999,-0.141220000000004,-0.240977333333319,-1.15268,1.66107733333334,0.0212199999999996,2.50667866666667,1.37208,2.78844133333334,-0.950348000000005,0.848129333333333,-1.77134133333332,0.0325013333333288,12.260828,-1.41286266666667,-0.0910640000000029,2.96072933333333,-0.319615999999996,0.675094666666666,1.96584,-0.168685333333329,-0.595794666666677,0.933283999999986,-0.414530666666664,0.460236000000009,0.0122173333333393,0.36399333333334,0.280593333333329,-2.22166,2.202916,2.48735600000001,-0.659688000000003,-0.101669333333334,1.32570933333334,-0.977019999999996,0.272786666666676,2.013972,-0.182357333333343,0.659322666666668,-1.07054133333332,0.016840000000002,1.33952266666665,1.73374399999999,3.46552533333333,-0.617381333333327,-1.33916266666667,-1.25535066666667,1.45018533333334,-2.87380933333333,-0.645889333333344,0.0515440000000069,1.29736266666667,-0.395600000000002,1.22334799999999,1.92835466666668,-1.528392,-2.01695733333334,0.0459293333333335,-1.65833600000001,0.116857333333328,0.409810666666672,0.240646666666649,-0.39827466666668,-0.809692000000013,-1.44672133333333,-0.764165333333338,1.660416,-0.534387999999993,1.08974666666666,1.742884,1.45820666666667,6.751668,0.112045333333327,0.439747999999994,1.24268533333334,-0.479309333333333,0.99226933333334,1.328216,-2.39370266666667,-1.36614,-0.961329333333325,1.22682133333333,1.04552266666667,-0.492737333333338,0.773050666666663,-0.305734666666666,-2.27218133333334,2.57954933333333,1.04468266666666,-0.605834666666667,3.40624000000001,-2.67350266666668
"2020-02-21",0.730509333333345,0.217488000000003,-0.147817333333336,-0.794311999999991,0.960460000000012,-2.71038800000001,-1.58865866666666,1.55122933333334,-0.421188000000001,-1.04110666666666,-1.10667466666666,0.753865333333323,-0.219376000000011,-1.375224,-1.46622666666667,1.52690666666666,-2.142888,-1.37745600000001,0.922510666666668,0.921834666666669,1.52758266666666,1.62806666666665,0.708587999999992,-0.71411066666667,-2.14683066666666,0.222132000000002,1.73236133333332,0.91261333333334,-0.0927733333333407,2.45833866666668,0.69062799999999,1.86877466666667,-1.74089066666666,2.92500799999999,0.164413333333329,3.13674399999999,4.37547866666668,2.76990799999999,-2.116536,0.580387999999999,0.551625333333334,-0.544896000000008,17.3100946666667,-1.68942266666666,-0.488978666666668,2.78326933333332,-0.0193426666666596,0.542053333333328,2.66633066666667,-0.954829333333322,4.924708,0.29043066666668,-0.62912533333332,0.655065333333326,-0.648905333333332,0.837605333333329,0.36824,-3.10327599999999,2.14974933333335,5.05497733333333,0.583033333333333,-1.985596,1.43695066666668,-0.16006933333334,7.20853200000001,2.84558133333333,0.0261586666666602,0.729044000000002,-0.966156000000012,-0.862167999999997,1.25766,1.75411999999999,3.79769866666666,-1.183492,16.2499186666666,-1.27887466666667,1.50234533333334,-3.23489866666668,-1.62487733333333,-0.540634666666662,1.31821733333332,-1.46460533333332,0.372903999999991,1.82924933333332,5.469864,-1.61718266666668,1.18404133333334,-1.46189333333334,0.532496000000009,0.797252,0.244761333333329,0.463398666666677,-1.695272,-2.06184400000001,-0.766087999999996,1.23685199999998,-2.50910933333334,-0.377867999999992,2.39924133333334,1.18561866666667,8.35211733333334,0.362060000000014,2.21330266666666,0.993184000000014,-1.36554933333332,0.182678666666661,1.58453866666666,-3.14252666666667,0.118688000000006,0.738332,4.67637066666666,0.898254666666659,-0.852395999999999,0.320607999999993,0.116947999999994,0.594059999999999,6.87634799999999,1.65719066666668,-2.818512,2.32577466666667,14.0886386666667
"2020-02-22",1.02289333333334,-0.193826666666666,0.0750280000000032,0.0307466666666727,-1.63023866666666,-0.777358666666672,-1.31658399999999,0.828669333333337,0.370290666666676,-1.43903066666667,0.0482133333333365,0.883249333333325,-0.339157333333333,0.619542666666661,0.262873333333346,1.05910799999999,-0.476436000000007,-1.950968,-0.699376000000001,-1.688624,0.403574666666671,0.420557333333321,0.859512000000009,0.453119999999998,1.19123866666666,-2.53863999999999,0.0267133333333334,0.98336266666665,0.364186666666669,-0.282347999999999,0.401301333333336,0.105494666666672,-2.33507333333334,0.373881333333344,1.81727600000001,-0.512725333333336,2.53202799999998,0.54973333333335,-1.193248,0.235798666666653,1.71570266666667,-0.992339999999999,12.807088,1.14297466666666,-1.81566933333333,0.591725333333343,-1.41286666666667,0.0913293333333343,0.215729333333343,0.726333333333343,1.42289733333334,0.169331999999997,-0.707722666666669,1.00792933333334,1.656876,1.78145866666668,-0.235117333333335,-2.28187066666666,1.07843066666666,8.86883599999999,-0.183125333333336,-0.780152000000001,2.57622799999999,1.44700666666667,1.52243066666666,-0.0894519999999943,0.916117333333347,0.242940000000004,-0.671655999999999,0.407902666666658,0.498489333333325,1.615936,1.99923733333334,-1.75524933333332,1.53308666666668,-0.119974666666664,0.971568000000005,-2.23320533333333,2.45694533333334,-0.0513759999999905,-0.401803999999998,0.00483733333334158,-0.000259999999997262,-0.165929333333338,0.0561880000000059,1.66383866666666,1.31122800000001,-0.165512000000007,-0.207331999999994,0.469527999999997,0.0513453333333302,-0.413645333333335,-0.449518666666677,-2.60521466666667,2.323008,1.29074133333333,-1.36235599999999,-2.097544,2.37144533333333,0.904261333333324,6.45854133333333,-3.52959200000001,-1.73256933333333,1.19963066666666,0.014725333333331,14.8467813333333,1.91002399999999,-2.70506266666666,0.927993333333333,-0.22026533333333,2.99202533333333,0.133366666666674,0.931692000000012,-0.878091999999995,0.172648000000009,-1.26877866666666,7.14714533333334,1.47286,0.368021333333331,3.26850400000001,1.55423466666666
"2020-02-23",0.855982666666662,0.509271999999996,1.35667866666667,0.436334666666653,-0.27109733333333,-0.264846666666671,-0.729685333333336,0.0331626666666693,0.373646666666659,-2.14209466666667,-2.67098533333333,0.206914666666663,-0.966201333333345,0.313649333333331,0.77894533333334,0.0805720000000036,1.09998533333334,-1.48285466666667,-0.961069333333327,-0.869007999999994,-0.352569333333335,1.14875333333333,0.883066666666664,1.87301066666667,1.530868,-0.130146666666676,0.469990666666661,0.386219999999994,1.20309466666666,-3.92485600000001,-2.31091866666667,-0.648453333333336,-3.14535066666666,-1.00163333333333,0.995319999999992,-1.36287466666667,1.64729866666666,-0.312556000000001,-1.05028799999999,1.191676,-0.400211999999996,-0.186737333333326,11.4418586666667,0.787120000000002,-1.94516,3.62631200000001,-1.53650933333334,1.248088,-0.175608000000011,0.26587866666668,0.968449333333325,0.210886666666667,-0.0525666666666638,0.67113733333332,-0.724365333333338,-0.203470666666661,-0.737869333333336,-2.41578666666666,1.92375199999999,8.34866266666667,-1.27584266666668,-0.728317333333337,1.251892,0.611673333333314,1.32549066666667,-0.753066666666669,-0.681162666666665,0.246185333333344,-1.77940933333332,-0.320006666666657,0.815821333333332,1.89018800000001,5.11908933333333,-3.10855600000001,2.12377466666666,-0.580591999999996,1.34334266666667,2.55126933333334,0.853469333333322,-0.340856000000002,0.462717333333345,1.08102400000001,0.410674666666665,-1.82091733333333,0.120650666666663,0.847865333333345,-0.494049333333336,-0.981226666666672,0.225697333333329,1.34516933333333,0.299926666666678,1.27124533333334,0.425873333333342,-3.84998533333334,3.91468800000001,1.19730133333333,-1.331304,-0.586812000000009,1.99546266666665,-0.13348400000001,6.26030933333332,-3.06750533333333,-0.501505333333327,0.49748266666667,0.326746666666679,4.90419066666668,1.54575066666666,-3.77393066666666,0.0260413333333247,-3.87426266666667,2.35684266666667,0.356459999999998,0.510457333333321,-0.824590666666666,2.33495600000001,-3.07338933333334,6.443532,1.00669866666667,2.83543866666666,3.07125866666667,1.04565466666666
"2020-02-24",0.981537333333321,-0.469482666666664,11.5938573333333,6.320628,-0.503682666666663,-1.44856800000001,-0.863556000000003,1.14836666666666,4.10181733333333,-0.910827999999995,-0.650396000000001,0.543406666666684,0.854878666666664,12.6636253333333,8.12649066666667,1.98084,-0.210189333333332,-0.0738733333333244,-0.00969466666667529,0.0757146666666699,0.105408000000011,1.739904,-0.214533333333335,-0.413482666666667,-2.39520266666666,0.20856666666667,3.624848,0.396998666666676,0.224996000000004,11.1195626666667,15.714676,0.943445333333329,-0.238648000000012,1.352712,0.0168759999999963,3.12816933333333,1.57342533333333,1.40371733333333,-0.89385466666667,0.581374666666662,-0.885986666666668,0.307255999999995,14.3766786666667,-1.65317333333334,-0.530186666666665,15.6524813333333,0.148148000000006,1.025492,0.301757333333327,0.936330666666677,0.188817333333333,-0.783696000000006,4.051936,1.21844,-1.25001466666667,14.363144,-0.721904000000009,0.126902666666666,2.12772666666667,7.667196,-1.77362000000001,-0.0788319999999914,0.807785333333342,-0.146612000000005,1.39807599999999,-0.13130666666666,0.53782666666666,-0.575704000000002,2.16085866666667,-1.10492933333333,0.461792000000003,1.70545466666667,15.1977693333333,-0.353662666666665,0.448105333333331,-1.42671199999999,1.66169733333335,-3.35013866666667,0.0907293333333428,-0.20420266666666,0.67664533333334,-0.773249333333339,3.18367066666667,0.257511999999991,0.30731733333333,-2.94195999999999,-0.463150666666664,11.1339213333333,0.425495999999995,0.776362666666671,-0.665705333333335,-0.693329333333324,-0.0935573333333366,3.48751866666667,-1.04678799999999,1.19853733333332,-0.587722666666664,0.708013333333341,1.79280133333333,0.780090666666666,6.50140933333334,0.829045333333326,0.481842666666665,0.919702666666652,-0.0929866666666754,3.00767466666667,2.06192,-1.887548,-1.34032666666667,11.9432573333333,4.19888266666666,0.731481333333335,0.0221453333333272,0.0389813333333393,5.51933333333332,6.19281066666666,5.36274266666665,1.14394133333333,0.616123999999999,3.65519733333332,2.55742933333335
"2020-02-25",0.953461333333337,0.160837333333347,13.0726426666667,6.89529866666668,0.0384773333333328,-1.334844,-1.17218,1.46183333333335,3.57401466666667,-1.29046133333334,-1.40459733333333,1.12924133333333,0.276637333333341,13.18394,9.67238400000001,-0.253977333333339,0.0384519999999924,-0.219106666666676,-0.246582666666654,1.33012933333335,-0.00151599999999519,1.33314533333333,0.273356000000007,-0.290064000000001,-2.43385333333333,0.426838666666669,3.54644266666666,0.775314666666674,-0.372934666666666,11.4090733333333,1.71663866666667,5.80103066666666,0.525903999999983,1.57593733333334,-0.615025333333335,3.53822266666666,1.12610933333335,0.374125333333339,0.127609333333339,-0.287907999999987,-0.818776,0.0912826666666717,15.0829773333333,-2.08112533333333,0.297443999999999,11.980392,-0.629490666666669,2.78765866666666,0.0632933333333199,0.799646666666675,0.128250666666659,1.19871466666667,5.24321999999999,-1.72713733333333,0.270070666666669,0.859446666666656,-0.401702666666665,-2.87292000000001,0.763691999999992,9.90093999999999,12.9690293333333,-0.882125333333335,0.586949333333337,0.666518666666676,0.63142400000001,0.226440000000011,0.372238666666675,-0.313772,-0.218185333333338,-0.855738666666667,0.49227333333333,1.71775333333332,21.778264,-0.732549333333338,0.131317333333342,-1.21356266666666,0.981790666666654,-2.62301600000001,-1.00592533333334,-0.0674239999999884,0.118682666666658,-0.346980000000002,2.29841066666667,0.518112000000002,0.0781093333333445,-1.36103333333334,-0.445541333333338,12.6738026666667,0.172337333333331,11.2109933333333,-0.678985333333344,0.0675253333333359,1.376276,15.8614706666667,0.200255999999996,0.911545333333336,-1.20228133333333,0.44177733333332,1.39735466666666,0.655884,6.10764533333332,1.38203466666667,-0.614313333333342,2.49314933333333,-0.645507999999992,1.78465333333332,2.059224,-3.376088,-2.00469466666667,14.9479626666667,1.86598266666667,1.504272,-0.0045159999999953,-0.139261333333337,4.78390533333332,9.44515466666667,5.05137599999999,1.47531599999999,-0.819706666666676,2.61483733333334,0.251653333333351
