"","AE","AF","AG","AO","AR","AT","AU","AW","BA","BB","BD","BE","BF","BG","BH","BJ","BO","BR","BS","BW","BY","BZ","CA","CH","CI","CL","CM","CO","CR","CV","CZ","DE","DK","DO","EC","EE","EG","ES","FI","FJ","FR","GA","GB","GE","GH","GR","GT","HK","HN","HR","HT","HU","ID","IE","IL","IN","IQ","IT","JM","JO","JP","KE","KG","KH","KR","KW","KZ","LA","LB","LK","LT","LU","LV","LY","MD","MK","ML","MM","MN","MT","MU","MX","MY","MZ","NA","NE","NG","NI","NL","NO","NP","NZ","OM","PA","PE","PG","PH","PK","PL","PR","PT","PY","QA","RE","RO","RW","SA","SE","SG","SI","SK","SN","SV","TG","TH","TJ","TR","TT","TW","TZ","UG","US","UY","VE","VN","YE","ZA","ZM","ZW"
"2020-02-16",0.863978666666682,2.84301733333334,-6.52920533333334,-4.45937600000001,-6.38144933333332,14.9596093333333,3.287648,-0.736378666666667,7.09090666666667,4.32020533333332,2.92158000000001,-7.30480933333332,3.58449333333333,16.6261346666667,-2.180532,-0.59790533333333,2.30942266666668,1.54748533333333,5.81395466666667,-5.21831733333333,1.27370666666667,8.38235466666666,12.842936,9.64114933333333,3.76720666666668,3.26991333333334,-4.12871866666666,0.232692,0.733485333333334,0.576924000000005,11.6841533333333,6.70941199999999,-7.48487333333333,-17.666036,1.68197066666667,5.80897466666667,-1.10476666666666,1.72994933333335,-2.6896,1.75438399999999,5.60330666666667,-2.34741733333334,-6.64338133333334,6.77966266666668,-2.52017733333332,7.03069599999999,5.67508000000001,-27.7470906666667,2.58325733333334,12.61202,1.73824,19.785192,-3.175252,-5.68825333333332,2.25062,1.71265199999999,10.801056,2.77268933333335,0.881409333333337,-1.25907866666665,-9.08052533333333,0.480254666666653,-0.842025333333325,1.59936533333334,-11.2064306666667,-0.652837333333338,-0.585693333333339,-2.495992,3.62002000000001,2.56235733333334,9.12748666666667,-6.68176266666669,4.74901866666666,6.081808,4.06943200000001,10.0373386666667,-1.716416,-1.242676,-4.72829733333333,6.308172,1.01192666666667,7.16892,-5.673716,-1.33210800000001,-11.9645493333333,3.27552799999999,2.47746799999999,4.32910133333333,-9.54056800000001,-5.01884933333334,3.68280533333333,3.829864,-4.79800400000001,10.6883906666667,0.709334666666678,17.2413786666667,2.98512266666665,3.32519466666668,11.7649386666667,0.350382666666675,-2.78130133333335,-7.00636800000001,-0.784871999999993,0,12.420232,1.29366,-5.243876,-9.89893599999999,-18.6607253333333,10.603632,14.4508666666667,0.475666666666669,4.45007866666667,-3.41225733333333,-3.426748,2.08473200000002,7.09962,18.943268,-14.1630653333333,-2.81593333333333,2.11827066666667,6.89127066666666,-6.61368800000001,5.07645733333332,-9.33506266666666,3.929616,-3.285696,-3.78397066666668,-7.59573333333333
"2020-02-17",-1.37606266666667,5.73065733333334,0,-5.85479733333332,-10.0130413333333,8.51420533333334,-0.626530666666667,-1.01010133333334,2.720952,-3.84314000000001,1.23982266666667,0.908126666666661,1.72155733333332,3.71614133333334,-4.93223066666667,-1.56950933333333,-3.93743333333333,-2.083816,1.208288,-9.67741866666667,1.40343733333333,3.16856933333334,-12.0343013333333,-2.67915866666667,0.661467999999999,0.903925333333319,-0.947270666666668,-1.23434,-1.02765866666667,-1.81488,3.937032,1.702708,-3.23635333333333,0.276128000000014,2.854456,3.76181066666665,0.147893333333343,-0.317926666666665,2.94247466666666,-3.51668266666667,1.07577466666666,-3.877792,9.78615333333335,0.880605333333335,-3.74806666666667,8.11066133333334,-1.96097333333334,-23.141388,-1.54716533333334,5.32828266666667,-4.20954399999999,5.85118133333333,-3.27372799999999,7.930588,3.24671466666666,-0.527465333333339,12.1670173333333,-0.43594933333334,-4.34232133333333,-3.40655466666666,-2.44391866666666,5.26590933333333,1.01262933333332,-2.27602133333333,-7.12159199999999,0.104898666666671,1.28286799999999,-1.483256,-0.950770666666671,-1.77812133333333,1.86480266666666,-3.106796,0.0355226666666653,-1.584508,1.97469066666667,7.72058666666666,3.68794266666667,-0.562413333333339,-3.16413866666666,4.58350133333334,-3.64583333333334,1.885172,-5.36195866666667,-2.71474666666667,-13.197428,1.701324,-0.241577333333325,1.82599333333333,-0.0915986666666697,2.110916,3.89386533333334,-1.75225866666666,-6.22271733333334,3.98852000000001,0.304875999999993,0.42643733333334,-0.640208000000001,7.71046933333332,5.81585199999999,-2.75820933333334,0.297866666666664,0.192189333333332,-1.30272933333333,0.925923999999995,3.55182933333333,0.770217333333335,-7.803568,-3.51445066666668,-11.8565973333333,0.654347999999999,8.23916133333333,-3.365224,-0.422953333333325,-6.45384666666666,-2.58440666666667,1.574804,5.72733066666666,11.0272466666667,-7.22589066666666,-5.27784266666667,1.10623733333333,6.11126266666666,-4.75093066666666,5.65398666666668,-9.15766399999998,6.02331600000001,-9.90386000000001,-8.00382533333334,-2.632864
"2020-02-18",-1.634344,2.535212,-0.95923333333333,-3.12322533333334,3.19978266666668,8.32836933333334,-3.17464666666667,-1.705236,3.68721066666666,-1.764236,1.77913866666665,3.26972400000001,0.94614133333333,4.11054933333332,-4.88844266666666,-1.735356,-1.85590666666667,-2.75477066666666,2.820796,-7.47422266666666,2.78335066666666,3.53227733333334,-1.33126266666666,2.59548933333333,2.24456266666667,0.221745333333317,-3.45138,-2.68482933333333,-3.08942133333333,-1.03270533333334,8.75353999999999,2.036748,0.649353333333337,-1.20404000000001,3.75671866666667,4.22374533333334,0.342005333333333,-1.52547199999999,2.17628933333333,-2.34962399999999,4.73774266666666,-3.11828133333334,6.81315600000001,8.71588666666668,-2.56410266666667,1.44982933333333,0.223140000000015,-23.6775106666667,-1.70079999999999,1.12933333333334,-5.11883066666667,5.00799599999999,-3.09511866666668,6.08067866666666,1.95708266666668,0.278075999999999,14.9688773333333,2.64576266666667,-4.05971333333332,-3.995992,1.22241199999999,3.132884,-1.01528933333334,-1.82601866666667,-1.211584,1.27480533333333,-0.412521333333331,-1.263408,4.54423466666667,-0.476023999999995,2.98833733333332,-3.27573600000001,1.07204666666667,3.46854666666667,3.982544,8.04445866666667,-0.341532000000001,0.296544000000011,-1.88067600000001,9.14083866666667,-0.518467999999999,0.400497333333334,-7.82811466666668,-7.17283066666667,-15.4247026666667,0.377359999999996,-0.214919999999992,-0.44929466666666,5.07204666666668,3.27161600000001,4.17141733333332,-0.928782666666677,-6.33867333333335,2.37180533333334,0.161296000000007,5.76923066666666,-0.210545333333329,3.94949866666667,2.88084933333334,-1.94238266666666,1.91310666666666,-3.41319333333333,-2.508336,2.56410266666667,3.28496799999999,-0.251571999999996,-7.074544,0.232889333333347,-12.583364,4.561168,6.11433466666666,-3.06588266666667,-0.180653333333325,-5.95075466666667,-3.48411066666668,-7.04056800000001,4.39980533333333,9.22509199999999,-6.79528800000001,-1.211116,-0.25048266666667,0.333389333333329,-3.55148799999999,2.89260400000001,-10.6449986666667,4.38651999999999,-12.002228,-6.18589333333334,0.574437333333336
"2020-02-19",-1.56149333333333,-0.821919999999992,-1.7199,-9.59367866666666,1.39887466666666,3.73812799999999,-0.684682666666674,0.833333333333329,2.68963600000001,-6.79456533333332,0.601170666666675,3.13764400000001,-0.355366666666669,1.37671466666667,-5.2709,-3.68271866666667,0.32746933333334,-1.04182400000001,-0.215402666666662,1.19453999999999,6.02164266666666,0.354609333333329,0.824132000000006,-3.88581333333333,-0.181777333333329,-0.332010666666676,-4.58149733333335,-4.86871866666667,-4.01343733333334,-2.71646666666668,3.84493999999999,3.37245733333333,0.275939999999991,-3.63856,3.46984400000001,5.49202933333332,-5.005224,-0.312591999999995,4.12714666666668,-2.13333066666667,-3.76821866666667,-4.18904666666666,5.70937600000001,3.97989866666666,-3.88324933333332,5.00885066666667,-0.0193173333333334,-23.9639893333333,-4.90340133333333,3.74405466666667,-8.50868800000001,2.87648,-3.17877733333333,2.12086933333333,-3.44591733333333,-0.209940000000003,10.76946,0.260635999999991,-2.56457066666667,-5.39780666666667,-0.270421333333331,0.487319999999997,-0.0461173333333278,-2.34156266666666,-5.20169066666666,0.591257333333346,-5.152924,-1.20147733333333,3.019068,0.431966666666668,2.70164933333335,-5.50646,0.387334666666675,2.06896400000001,9.64015199999999,3.89899733333334,-3.13961333333333,-2.86318933333334,-0.684932000000003,6.54381333333333,-3.49050933333334,-0.0798293333333362,-5.85843866666667,-7.46951333333334,-13.35436,-1.68539466666667,-2.347112,-4.50227333333333,3.11685733333333,6.32589733333333,3.668172,0.553593333333339,-6.839,1.33400533333334,-0.0667520000000081,0.597610666666654,-3.32893333333332,-0.378509333333326,5.00157733333333,-1.78274533333334,3.87123066666666,-3.99198933333334,-3.29906266666666,5.96330266666666,2.94500666666666,-4.15617333333333,-6.88500933333333,3.44555600000001,-14.2123613333333,3.80434666666667,3.31666533333332,-4.51673866666667,0.258127999999999,-8.99400800000001,-3.91008000000001,-2.99823466666666,0.105377333333337,9.32304933333332,-6.95653333333333,-0.975260000000006,-4.15815733333334,2.10360266666667,2.77763333333334,4.57830266666666,-8.674876,1.73160266666667,-11.6100773333334,-7.62820400000001,-1.73661333333334
"2020-02-20",-1.76227866666666,-1.70380133333333,0.990097333333324,-3.942256,0.0209906666666768,3.92110666666667,0.242609333333334,3.65296933333335,0.951813333333334,2.41809600000001,2.31955466666666,-2.26927733333333,-1.74337733333333,-2.60842933333333,-2.78181466666666,-2.64072133333335,0.465443999999991,1.36272133333333,0.82601866666667,6.62139333333333,10.4811906666667,3.07516933333333,5.68524666666666,2.40558399999999,2.26389066666668,-1.48624133333333,-4.63421600000001,-5.00389066666666,-4.55077066666666,1.36752266666666,3.91681466666667,2.47728533333333,0.942301333333333,0.125569333333345,4.20955466666666,5.602504,-4.68239866666667,1.07880133333333,0.394084000000007,2.124044,-1.63627066666668,-6.57475733333332,4.71035733333333,7.47091200000001,-3.21543333333332,7.86802666666667,-2.38083866666666,-24.279124,-3.58162933333334,4.16504933333333,-7.29536933333333,4.44830266666668,-1.51570666666667,8.07385733333335,2.93307466666668,0.754181333333335,8.57710266666668,1.86045866666666,-2.69642666666667,-3.827144,0.92755600000001,1.99146533333334,7.07410133333333,-1.00385066666666,-7.42673733333334,2.25453200000001,2.85573333333333,-1.64083866666667,5.30441733333333,3.85858666666667,1.96287600000001,-6.84473733333334,1.03810133333333,1.65775600000001,3.98773199999999,-3.78622933333334,0.132889333333324,-0.979705333333342,-0.740742666666677,8.682744,-2.31305466666667,0.126647999999989,-1.806336,-5.49492400000001,-4.26861066666667,3.42857333333333,-1.674464,-1.22324133333333,0.735153333333344,-1.00460799999999,6.66963733333334,1.29345733333332,-6.19993066666666,6.61007200000002,-0.422911999999997,-0.763355999999987,-1.77188133333333,-2.93836399999999,6.79307066666665,-1.85414666666667,5.75608800000001,-1.05796266666667,-1.03695733333333,4.16666666666667,0.59681733333332,-3.45649733333333,-4.642004,1.36725866666667,-14.3656813333333,3.73270133333334,4.931076,-3.72122133333333,-0.509633333333326,-9.32711733333333,-3.78242533333332,3.21620133333333,-1.21341466666667,10.6060586666667,-5.15907333333332,-0.118006666666659,-1.488648,1.05017600000001,-1.273224,6.33571333333333,-12.3155106666667,2.97265066666668,-5.45170133333332,-10.022268,7.97277866666668
"2020-02-21",-2.58130399999999,-0.169780000000003,-2.47933999999999,-1.69745333333334,2.87907466666665,0.908294666666663,3.28206933333333,7.23542266666666,2.29124933333334,1.94805333333332,1.97901866666668,-0.0791626666666616,1.48749333333333,-0.439574666666658,-3.86891733333333,0.672495999999995,-3.56289733333334,1.77225199999999,-1.22989466666667,9.41634133333334,8.915288,0.294408000000004,1.59458933333335,-1.46539866666667,-0.970270666666664,-2.787684,-4.40199333333334,-1.83552533333334,-4.67408266666666,-1.70542399999999,2.17674266666666,1.78506933333334,1.24020400000001,-1.65146933333334,0.148234666666667,0.985290666666657,6.00174,1.07481866666667,0.811686666666674,1.52905333333334,-0.672801333333339,-9.12698399999999,4.74079333333333,10.7520546666667,-3.29793333333333,-4.34899866666667,-0.39812666666667,-23.911316,-3.15071066666667,3.136144,-5.93645199999999,2.06127866666668,-1.96346533333333,1.49985733333334,4.90643333333334,-3.73212133333332,14.2009173333333,1.456096,-4.33478266666667,2.93073466666667,-1.40935200000001,4.27748133333334,8.42975333333334,-0.0895746666666639,-14.70928,4.47183733333334,6.23896266666668,0.215611999999993,1.91324933333333,2.325892,-3.24724266666666,-7.56834933333333,4.08265733333333,3.22580400000001,-1.34421333333333,2.62147466666667,4.89690666666667,-1.6872,2.97653200000001,10.2596586666667,-35.9667866666667,-1.56180266666667,-4.370316,-4.84140000000001,-1.91947466666666,0.176676,-0.904993333333337,1.60165866666667,7.91508,0.647511999999992,-6.664592,3.71785466666665,-3.472768,3.75329600000001,-1.33230533333332,5.67765866666667,-2.093892,0.653992000000002,1.07839466666665,-2.06620266666667,3.62640933333334,-3.719492,-0.709030666666663,-10.5633853333333,4.63437333333334,0.769230666666672,-5.91845733333334,4.98770133333333,-10.8248906666667,1.29849733333333,-1.91274533333333,-2.77442933333333,0.407775999999998,-8.68226133333333,-3.920344,5.31287066666665,-4.194016,11.703344,-3.2907,-2.40323333333333,-1.77414,2.37188266666666,-2.36899333333334,8.03924000000001,-7.43281066666667,0,-3.13160666666667,-9.052216,-18.77178
"2020-02-22",-1.907816,1.64556933333333,-4.53564,0.474934666666655,5.84464533333333,8.53771999999999,5.42692533333333,-1.86335200000001,5.14712533333332,2.93925466666667,2.41521733333335,-4.04653466666667,0.611246666666673,0.786153333333345,-3.835464,0.590550666666672,-0.585926666666666,-3.016424,-1.36054533333333,10.193324,11.708888,0.192494666666661,7.71153199999999,0.821791999999988,-2.84505733333333,-0.221770666666671,-6.31299866666666,-2.45104533333334,-2.49485333333332,0.642054666666667,8.79678400000002,-0.628545333333335,-5.86612000000001,-0.198206666666664,-4.18525733333333,-7.364288,0.389796000000004,1.79254666666667,-1.60993466666667,-0.371470666666667,-6.17293333333333,-7.14957733333334,-3.64046266666666,6.30116266666667,-3.28612800000001,-5.35042266666666,-1.01216133333334,-23.1113786666667,-5.42686,8.29146800000001,-6.12082933333333,7.71932533333333,-0.0559533333333206,-2.14821333333333,-1.68074533333333,-2.15935733333333,10.839356,-0.937404000000001,-4.16080266666667,-7.14285333333333,-4.50382933333334,3.12020933333332,9.239008,0.147766666666669,-26.4603173333333,4.608012,5.32331333333333,0.299590666666674,-5.86498,-0.373158666666669,-6.26310266666667,-8.312408,-2.90277066666667,2.509344,0.455311999999992,-0.49603333333333,4.59119733333333,0.677230666666674,8.09432933333333,7.13128133333333,-1.17936133333333,0.280152000000001,-4.37537066666667,3.286036,-0.714283999999992,3.04568533333334,1.05946400000001,0.223637333333329,0.681966666666668,-2.91758266666666,3.86704533333332,7.347784,-2.88176933333332,-7.03244000000001,0.966634666666664,9.95935066666667,1.11342933333334,1.36952666666666,2.54057333333333,-0.924122666666676,3.52251200000001,-2.06114666666666,-0.878697333333335,-8.95522,2.45303333333334,4.17163066666666,-9.10219333333333,0.350839999999991,-10.9485066666667,8.0472,5.766632,-3.66094,-0.133728000000005,-33.3730666666667,-3.77722666666666,5.01457733333332,0.00134800000000723,6.81627866666668,-7.88081866666666,-2.03349333333334,2.23106399999999,7.00759866666667,2.0035,7.719548,-7.04960133333333,4.68468266666666,-3.61115466666666,-3.20254,-6.79347733333333
"2020-02-23",-0.519282666666669,2.10135866666667,1.03092933333333,-1.16066000000001,13.639292,3.79456133333333,3.353236,13.6966146666667,3.22727466666666,9.402796,3.92391466666666,-6.79364,2.56035333333332,13.2213133333333,-4.21488400000001,0.149474666666663,-3.38915466666666,4.32210799999999,1.01744133333332,3.62087466666668,6.50334666666667,4.55882266666667,9.65432266666666,13.965312,0.893503999999993,-1.08217333333333,-9.44140666666668,-7.12741066666666,-3.86787866666667,4.42307600000001,2.74942,-0.156229333333329,1.06669600000001,-6.255188,1.59800666666668,12.3626866666667,-4.86394266666666,7.09051466666666,4.68428,2.80701733333333,8.45311466666668,-5.86854,-0.743713333333346,6.36626666666666,-3.36967466666667,6.84208133333333,-0.12251733333332,-23.64624,-4.54603066666667,9.62295066666667,-16.7689213333333,11.184408,-1.96035733333333,-2.80488533333335,0.555028000000007,-2.07948266666666,11.203664,-5.31448400000001,-2.83119733333334,-2.05182933333333,0.546859999999995,3.40922533333334,14.7543026666667,-0.395883999999995,-31.2636413333334,5.03965733333334,4.39560400000001,1.60293066666668,-1.41055866666666,0.788415999999998,0.220890666666662,-7.92752133333332,6.99499466666667,5.70505733333333,3.43297866666667,6.21568266666668,0,-2.19560800000001,-19.266052,11.0651493333333,-2.529816,2.04953999999999,-6.096496,-14.7909946666667,-5.76071199999998,2.50481733333334,-0.618077333333332,-1.01994266666668,0.512624000000002,-0.86160266666667,6.29640666666667,4.59512266666667,-0.276464000000004,-7.69857733333333,-0.748478666666671,11.4058386666667,-2.64038133333332,1.75280266666667,-6.88689200000002,-4.49942533333333,8.27274533333333,-2.983876,-1.17356933333333,-3.84615600000001,6.88673466666667,-0.129363999999995,-6.78790266666665,1.91162133333333,-13.930308,9.06784,0.146805333333333,-2.15879866666666,0.0262293333333332,-16.3648986666667,-4.62712133333333,9.34768133333334,6.787908,36.7177986666667,-4.39244133333332,-10.6456,0.375112000000001,6.811116,5.37479599999999,17.189972,-9.20246399999999,6.56891333333334,-9.23868800000001,-5.84795066666666,-4.77087466666667
"2020-02-24",-2.661148,2.578796,-5.54156533333332,-8.78220666666665,-9.97764133333334,8.86841333333335,-0.814930666666669,-23.4848533333333,-0.77457733333334,-3.13725333333333,0.691518666666653,7.04167199999999,1.72155733333332,-1.79090933333333,-7.44227066666667,-0.0747373333333314,-27.1475826666667,-13.947856,3.04948400000001,-5.14385466666667,-0.235652000000002,2.534856,2.54809066666665,5.74262533333334,-2.59862800000001,-1.37912533333333,-4.704768,-6.76022399999999,-4.62208533333333,6.53357466666667,3.09062133333333,1.893056,-1.740092,-0.196563999999995,-15.1763706666667,-21.54184,-13.2070213333333,4.62136266666666,4.67134666666666,-1.80342666666667,2.57884666666666,-2.82021066666667,-3.24869733333334,4.423508,-4.77846266666666,5.39263466666667,-6.086792,-23.0848493333333,-5.19570400000001,3.980052,-36.014964,2.00130666666666,-2.44969733333333,0.624551999999994,0.269230666666658,-1.26605733333334,9.00927733333332,-4.18245999999999,-1.61027466666667,-0.84983866666667,17.68836,2.27840666666665,-1.51325466666667,-2.54027866666667,-20.9625653333333,5.37599200000001,0.337437333333341,1.00478666666667,-6.99400800000001,-1.29640133333334,2.50925733333334,-1.51456133333335,0.663116000000002,4.98826133333334,-10.4486186666667,2.67027733333333,4.32624266666666,-1.27090933333334,-63.0191146666667,12.79394,-4.19921866666667,-1.7176,-3.87377466666666,-3.484604,-9.49570666666666,-1.701324,-3.24991866666666,-0.859293333333326,9.47017466666667,0.909236000000007,3.17022666666666,-0.610163999999997,-0.417942666666676,-20.7055466666667,-1.36064666666667,-1.27931733333332,0.808273333333332,7.57606,1.01810666666667,-6.74586933333335,18.4778386666667,0.571757333333323,-1.41129066666666,-5.55555199999999,-1.18394533333334,-4.23620133333333,-9.29512533333333,1.70413199999999,-11.7754213333333,2.29984533333334,5.0613,-3.89310666666667,-1.83280933333333,-11.103404,-4.07067333333333,0.787398666666661,2.71839333333332,-10.4565533333333,-2.86878933333334,-3.83631866666667,-2.53671733333334,1.70679733333334,-7.70792666666667,-16.5031426666667,-7.12696266666669,6.54145333333334,-11.164388,-10.3316346666667,-5.02194266666666
"2020-02-25",-2.54904133333334,2.25352000000001,0.719426666666664,-17.206136,-19.7209466666667,13.0426893333333,-2.51958266666666,5.72472666666668,4.56758133333332,7.698476,-1.290136,9.62241066666667,4.294032,2.92111200000001,-9.47606400000001,1.01229333333333,-41.0936386666667,-31.4777426666667,-0.387166666666658,1.202748,2.14142399999999,1.09622133333333,1.87802133333332,4.14181066666666,0.257192000000003,-0.570363999999998,-3.33133466666666,-8.43987066666668,-5.88046266666666,5.16351333333334,6.030096,-0.529861333333344,-3.35043333333334,-0.133784000000006,-23.617544,2.12002533333333,-8.50924666666666,-2.03347733333334,3.73215733333335,1.50375866666667,1.20584666666666,-1.07526666666666,-0.774255999999994,0.803894666666665,-2.82051066666666,0.519073333333338,-3.78850266666667,-24.2309973333333,-4.466044,1.20103999999999,-28.153564,4.97480799999998,-5.36737066666666,-1.88806666666666,1.67305466666667,-0.693660000000008,0.743892000000002,-5.96031733333334,12.5250293333333,-6.22314399999999,0.107131999999993,0.566050666666655,7.13035600000001,-1.74993866666668,-32.567484,-7.07057733333333,3.12755866666667,2.57449333333332,-1.27345733333333,3.02414933333333,-2.28598000000001,-0.719939999999994,-1.44092266666667,5.467372,0.200037333333341,4.33308400000001,4.43989066666666,-0.0144653333333338,-66.6666666666667,15.692428,0.291641333333331,-1.507136,-3.67492666666666,-2.74704533333335,-1.35487333333333,1.69811466666667,-0.452225333333331,-3.59435066666667,15.9431506666667,1.314956,0.649647999999999,-1.43570933333334,-0.46065733333333,-35.4884026666667,0.761667999999986,3.20512933333332,-0.286794666666665,3.952972,0.685734666666676,-10.1746013333333,-2.20679733333333,-6.55350800000001,-2.05365466666667,-2.99145466666667,2.04758133333334,-2.13836666666667,-6.42268933333334,8.12168933333332,-10.273844,0.0288079999999979,5.11700399999999,-10.4696653333333,-0.0903266666666696,-7.52393599999999,-1.5513,1.07398533333334,3.05004933333333,-21.314352,-7.97727466666667,0.474945333333338,0.578033333333323,4.02918533333334,-20.275024,-30.725504,-10.0172226666667,7.05658,-0.620955999999993,-5.70512933333333,-1.48396266666666
